Player,Team,CR,Base_Projection,Enhanced_Projection,Value_Ratio,Is_Starter
N. Milutinov,,15.2,179.7,204.78,13.472,1
M. Wright,,12.7,149.56,176.25,13.878,0
D. Theis,,14.5,145.59,165.65,11.424,0
T. Jones,,15.2,137.58,162.61,10.698,0
D. Oturu,,11.7,137.13,161.36,13.791,0
W. Tavares,,14.6,119.2,130.36,8.929,1
D. Booker,,12.4,114.31,129.05,10.408,0
M. Kabengele,,13.3,146.39,104.23,7.837,0
D. Hall,,12.4,101.62,101.61,8.195,0
M. Ndiaye,,7.7,87.13,91.43,11.875,0
J. Vesely,,10.5,77.03,86.01,8.191,0
D. Motiejunas,,7.9,73.93,76.54,9.688,1
J. Motley,,11.9,68.1,72.19,6.066,1
J. Pradilla,,9.2,66.92,69.4,7.543,1
E. Izundu,,8.3,66.92,69.04,8.318,0
L. Birutis,,6.5,67.35,67.95,10.453,0
W. Hernangomez,,10.4,63.12,66.02,6.348,0
O. Yurtseven,,9.7,104.12,60.33,6.22,0
N. Melli,,8.7,58.34,58.13,6.682,0
M. Santos,,6.4,54.43,56.16,8.774,0
B. Massa,,6.7,47.85,46.32,6.914,0
K. Diop,,6.0,47.78,45.49,7.582,0
M. Faye,,7.1,45.8,45.07,6.348,0
N. Sako,,8.5,42.49,42.26,4.972,0
B. Fernando,,7.4,43.52,41.29,5.579,0
K. Jones,,9.0,44.11,39.2,4.355,0
M. Diouf,,6.7,38.47,38.06,5.681,0
B. Vautier,,5.8,34.96,35.33,6.091,0
W. Gabriel,,10.1,34.03,34.14,3.381,0
R. Holmes,,11.7,66.46,33.23,2.84,0
K. Hayes,,6.2,31.87,30.23,4.876,0
J. Nebo,,11.6,33.3,29.88,2.576,0
B. Dunston,,5.5,28.13,24.4,4.436,0
A. Bacot Jr.,,9.6,24.58,23.02,2.397,0
A. Diarra,,8.1,22.83,20.0,2.47,0
K. Birch,,5.5,15.07,13.5,2.455,0
I. Bako,,6.6,13.55,11.97,1.813,0
G. Papagiannis,,7.3,28.07,10.56,1.447,0
J. Voigtmann,,8.8,26.18,9.57,1.088,1
D. Mccormack,,7.6,10.21,9.16,1.206,0
Y. Fall,,6.4,7.0,5.86,0.916,0
T. Odiase,,7.1,6.6,5.56,0.783,0
K. Kamenjas,,6.0,6.47,5.44,0.907,1
E. Shahrvin,,4.1,5.55,4.63,1.13,0
K. Antetokounmpo,,4.4,4.23,3.54,0.805,0
U. Plavsic,,6.2,3.3,2.74,0.441,0
S. Sanli,,4.9,3.17,2.62,0.535,0
S. Keita,,4.0,2.21,1.86,0.466,0
B. Dessert,,6.6,2.12,1.76,0.267,0
C. Omoruyi,,8.3,2.12,1.73,0.209,0
I. Kouzeloglou,,4.0,-0.01,0.0,0.0,0
L. Kratzer,,4.0,-5.0,0.0,0.0,0
J. Rivero,,8.8,-0.99,0.0,0.0,0
