Player,Team,CR,Base_Projection,Enhanced_Projection,Value_Ratio,Is_Starter
S. Vezenkov,,17.4,182.15,241.21,13.863,1
F. Petrusev,,15.8,182.25,229.79,14.544,1
C. Moneke,,16.3,177.63,223.03,13.683,0
T. Luwawu-cabarrot,,11.9,153.73,208.18,17.494,0
T. Shengelia,,15.3,155.1,189.56,12.389,1
J. Nwora,,13.2,150.97,188.23,14.26,0
W. Clyburn,,12.7,132.66,159.32,12.545,0
T. Lyles,,13.6,132.74,158.71,11.67,0
H. Diallo,,10.6,119.66,149.82,14.134,1
C. Osman,,12.0,122.64,147.07,12.256,0
I. Mike,,8.8,122.52,145.84,16.573,0
A. Diallo,,11.7,122.49,144.3,12.333,0
N. Mirotic,,14.3,122.48,139.76,9.773,0
S. Shields,,14.7,113.87,137.76,9.371,1
J. Hoard,,14.2,113.51,130.73,9.206,0
E. Osmani,,9.4,109.34,130.15,13.846,0
I. Bonga,,10.1,119.49,128.56,12.729,0
J. Hernangomez,,13.5,114.4,125.3,9.282,1
D. Bacon,,11.7,94.17,120.39,10.29,0
O. Brissett,,10.7,97.23,108.38,10.129,1
R. Sorkin,,11.8,95.34,107.95,9.149,0
T. Leaf,,12.0,95.87,98.93,8.244,0
C. Malcolm,,8.2,97.2,98.24,11.981,0
M. Hezonja,,11.5,79.45,97.8,8.504,0
K. Taylor,,10.4,90.86,97.28,9.354,1
T. Ward,,9.0,86.48,93.36,10.373,0
N. Reuvers,,7.8,87.2,89.82,11.516,0
S. Niang,,8.5,87.45,88.7,10.436,0
C. Okeke,,10.8,87.21,86.46,8.006,0
B. Colson,,10.1,79.41,82.36,8.155,0
N. Kalinic,,9.7,78.31,80.81,8.331,0
M. Costello,,9.6,77.51,79.98,8.331,0
A. Tubelis,,10.0,76.73,79.05,7.905,1
O. Da Silva,,7.2,83.13,79.05,10.978,0
D. Willis,,9.2,76.88,78.79,8.564,0
Z. Seljaas,,9.3,71.78,76.6,8.236,0
D. Bertans,,7.4,66.61,74.6,10.081,0
T. Sedekerskis,,10.3,70.24,73.1,7.097,0
V. Lucic,,8.9,71.33,72.98,8.2,1
K. Jallow,,8.9,71.19,71.33,8.015,0
D. Osetkowski,,8.5,70.18,70.44,8.287,0
G. Deck,,9.1,71.61,69.86,7.677,0
J. Parker,,9.6,60.7,66.37,6.914,0
J. Blossomgame,,8.8,63.16,62.95,7.154,1
K. Mitoglou,,8.7,60.08,58.29,6.7,0
R. Smits,,7.3,57.7,57.91,7.933,0
