Player,Team,CR,Base_Projection,Enhanced_Projection,Value_Ratio,Is_Starter
N. Hifi,,13.6,173.57,264.13,19.421,0
S. Francisco,,15.6,162.36,217.81,13.962,1
M. James,,15.8,154.3,215.45,13.636,0
K. Nunn,,15.8,146.1,209.17,13.238,0
W. Baldwin Iv,,11.9,137.1,184.89,15.537,1
T. Dorsey,,10.4,132.49,177.74,17.09,0
S. Larkin,,13.8,123.0,168.05,12.178,0
O. Moore,,11.5,132.46,167.4,14.556,0
C. Miller-mcintyre,,11.8,122.93,166.43,14.104,1
V. Micic,,15.2,122.66,159.77,10.511,1
E. Bryant,,13.6,132.19,158.64,11.665,0
D. Thompson,,11.9,122.75,149.49,12.562,0
A. Obst,,8.8,121.91,146.95,16.699,0
N. De Colo,,13.0,119.05,142.04,10.926,0
C. Edwards,,13.1,96.82,134.51,10.268,1
A. Blakeney,,10.1,109.28,133.46,13.214,0
S. Brown,,10.9,103.78,130.42,11.965,1
J. Robinson,,11.8,103.91,129.84,11.004,0
L. Walker Iv,,13.3,99.47,129.22,9.715,1
D. Hall,,9.1,103.76,119.75,13.16,0
K. Punter,,12.7,96.65,116.33,9.16,0
G. Watson,,10.1,94.33,114.87,11.373,0
I. Cordinier,,10.7,96.0,111.82,10.451,1
T. Satoransky,,10.4,95.83,104.51,10.049,1
L. Bolmaro,,9.0,88.16,100.5,11.167,1
K. Sloukas,,11.8,87.4,97.93,8.3,1
M. Wright Iv,,10.2,82.6,95.92,9.404,1
T. Blatt,,8.4,81.25,94.21,11.216,0
E. Okobo,,11.2,78.06,94.1,8.402,0
J. Loyd,,8.9,79.15,90.23,10.138,0
M. Guduric,,10.8,81.01,89.06,8.246,0
A. Brooks,,7.8,77.11,84.23,10.799,0
M. Lo,,9.4,74.94,82.92,8.821,0
A. Pajola,,7.8,77.49,80.4,10.307,1
F. Campazzo,,13.0,71.99,80.16,6.166,1
T. Horton Tucker,,10.2,70.05,79.48,7.792,0
T. Maledon,,13.2,74.44,79.08,5.991,0
C. Jones,,10.6,69.88,77.81,7.34,0
J. Dowtin Jr,,10.7,70.08,77.3,7.224,0
S. Herrera,,5.6,69.43,76.7,13.696,0
M. Morgan,,8.0,65.89,76.05,9.506,0
M. Strazel,,7.4,69.89,74.99,10.133,1
T. Forrest,,10.4,71.01,72.54,6.975,0
C. Jones,,14.1,67.2,72.1,5.113,0
M. Nowell,,8.7,60.47,65.09,7.482,0
M. Spagnolo,,8.0,62.99,65.02,8.127,0
N. Weiler-babb,,11.1,108.32,63.97,5.763,1
Q. Ellis,,7.1,60.41,63.1,8.888,0
B. Badio,,8.5,55.55,60.48,7.115,0
S. De Larrea,,6.7,57.3,58.03,8.661,0
T. Shorts,,12.0,55.64,57.92,4.827,0
K. Baldwin,,6.9,55.29,57.85,8.384,0
J. Grant,,8.8,53.79,55.61,6.32,0
X. Rathan-mayes,,8.2,49.38,54.11,6.599,0
Y. Ouattara,,5.7,45.77,50.24,8.813,0
J. Montero,,11.6,48.16,48.35,4.168,0
S. Jovic,,7.0,47.81,46.06,6.579,0
D. Washington,,8.3,64.86,44.38,5.347,0
L. Vildoza,,8.1,41.78,42.46,5.242,0
T. Walkup,,8.6,43.46,41.33,4.806,0
J. Puerto,,6.1,43.28,41.16,6.747,0
D. Sirvydis,,7.0,39.05,38.59,5.513,1
N. Williams-goss,,9.7,64.51,36.5,3.763,0
J. Clark Iii,,7.6,34.52,35.57,4.68,1
K. Prepelic,,6.8,34.89,33.36,4.906,0
T. Carter,,8.7,29.52,28.91,3.323,0
K. Simmons,,9.0,31.09,28.68,3.187,0
S. Milton,,11.4,29.3,26.67,2.34,0
P. Dozier,,7.6,26.09,25.91,3.41,0
K. Kondic,,5.8,27.19,25.04,4.318,0
N. Nedovic,,6.7,25.03,23.63,3.527,0
D. Hackett,,5.3,25.5,22.81,4.303,0
N. Mannion,,6.3,23.59,22.31,3.541,0
L. Brown,,10.0,23.04,20.85,2.085,0
E. Fournier,,10.8,20.45,20.82,1.928,0
A. Feliz,,6.2,20.52,19.15,3.088,0
D. Brizuela,,6.4,19.18,18.75,2.929,0
S. Wilbekin,,8.8,38.09,17.85,2.028,1
S. Llull,,4.6,18.55,17.41,3.785,0
Y. Dos Santos,,5.8,17.14,16.58,2.858,0
A. Zagars,,6.7,17.27,15.05,2.247,0
J. Marcos,,5.0,16.25,14.62,2.924,0
S. Mckissic,,6.7,17.21,14.54,2.171,0
J. Dibartolomeo,,5.1,17.17,14.5,2.844,0
S. Lee,,7.3,14.93,13.83,1.894,0
S. Miljenovic,,4.3,15.4,13.04,3.031,1
B. Ellis,,9.4,14.9,12.88,1.37,0
K. Mikalauskas,,4.4,14.2,11.72,2.664,0
N. Laprovittola,,10.8,28.16,11.05,1.024,0
J. Ayayi,,6.9,10.98,9.43,1.367,0
M. Rubstavicius,,6.3,11.03,9.3,1.476,0
M. Howard,,7.9,9.87,9.2,1.164,0
B. Taylor,,7.4,9.93,8.81,1.19,0
D. Kramer,,6.0,9.82,8.71,1.452,0
F. Ntilikina,,7.1,7.11,6.83,0.961,0
M. Ngouama,,4.9,6.57,6.22,1.27,0
A. Atamna,,4.1,7.06,6.22,1.516,0
B. Boston Jr.,,11.4,6.56,5.37,0.471,0
T. Ennis,,8.7,4.75,4.01,0.461,0
T. Tarpey,,4.1,4.73,3.85,0.94,0
M. Mahmutoglu,,4.0,4.28,3.51,0.878,0
S. Dinwiddie,,10.2,3.31,2.78,0.273,0
X. Lopez-arostegui,,7.6,3.36,2.77,0.365,0
I. Nogues,,4.2,2.18,1.76,0.42,0
A. Lakic,,4.0,2.09,1.74,0.435,0
V. Toliopoulos,,6.5,1.18,0.95,0.146,0
R. Beaubois,,6.3,1.2,0.38,0.06,0
G. Palatin,,4.0,0.01,0.01,0.001,0
O. Radosic,,4.0,0.01,0.01,0.001,0
M. Bosnjakovic,,4.0,0.0,0.0,0.001,0
M. Grigonis,,6.0,-5.13,0.0,0.0,0
T. Armstrong,,8.0,-0.69,0.0,0.0,0
J. Butler,,9.4,-4.41,0.0,0.0,0
R. Villar,,4.0,-3.09,0.0,0.0,0
S. Tonut,,5.1,-0.08,0.0,0.0,0
S. Hazer,,4.7,-3.64,0.0,0.0,0
N. Calathes,,6.3,-3.98,0.0,0.0,0
O. Netzipoglou,,4.0,-3.02,0.0,0.0,0
G. Larentzakis,,4.2,-3.56,0.0,0.0,0
J. Hollatz,,4.2,-3.78,0.0,0.0,0
