Player,Pos,Team,CR,Enhanced_Projection,Role
T. Dorsey,G,,11.5,177.48046170047053,Active
N. Hifi,G,,14.0,262.6521213240658,CAPTAIN
I. Mike,F,,9.4,146.42724826206037,Active
F. Petrusev,F,,15.3,254.68588054016445,Active
H. Diallo,F,,11.2,168.51666346211633,Active
L. Birutis,C,,6.3,77.55332856546661,Active
A. Obst,G,,8.2,146.35645437149086,Substitute
S. Herrera,G,,5.7,77.24394630173472,Substitute
A. Butkevicius,F,,7.2,88.96335391993411,Substitute
T. Luwawu-cabarrot,F,,12.0,208.32506989705425,Substitute
