Player,Pos,Team,CR,Enhanced_Projection,Role
T. Dorsey,G,,11.5,177.84524262330143,Active
N. Hifi,G,,14.0,267.67625886400333,CAPTAIN
T. Luwawu-cabarrot,F,,12.0,209.06761277634206,Active
I. Mike,F,,9.4,146.3469083707451,Active
K. Diop,C,,5.6,45.55211103949002,Active
L. Birutis,C,,6.3,77.99837657367154,Active
S. Herrera,G,,5.7,76.63365415768861,Substitute
A. Obst,G,,8.2,147.11628840861252,Substitute
W. Baldwin Iv,G,,12.0,182.98386167605278,Substitute
F. Petrusev,F,,15.3,256.27577236695083,Substitute
