Player,Pos,Team,CR,Base_Projection,Enhanced_Projection,Value_Ratio,Is_Starter,Is_Injured,Usage_Boost,DvP_Boost,Injury_Penalty,FPT_roll_mean,MIN_roll_mean,Usage_Raw,Allow_FPT
N. Hifi,G,,13.9,173.95,265.93,19.131,0,0,90.21,1.76,0.0,172.8,187.0,4.08,13.825
S. Vezenkov,F,,17.0,181.43,239.72,14.101,1,0,61.5,-3.21,0.0,196.9,225.0,3.06,11.426
F. Petrusev,F,,15.4,180.04,226.47,14.706,1,0,49.61,-3.18,0.0,185.2,210.0,2.7,11.426
C. Moneke,F,,16.1,179.71,225.11,13.982,0,0,48.57,-3.17,0.0,174.9,202.0,2.67,11.426
S. Francisco,G,,16.6,162.75,219.56,13.227,1,0,55.16,1.65,0.0,164.1,203.0,3.06,13.825
M. James,G,,16.5,153.12,214.93,13.026,0,0,60.26,1.55,0.0,150.6,238.0,3.37,13.825
K. Nunn,G,,15.5,147.79,212.66,13.72,0,0,63.37,1.5,0.0,144.8,241.0,3.57,13.825
T. Luwawu-cabarrot,F,,12.0,153.93,208.0,17.333,0,0,56.78,-2.72,0.0,154.3,227.0,3.23,11.426
N. Milutinov,C,,16.0,181.05,205.19,12.824,1,0,21.83,2.31,0.0,184.1,179.0,1.82,14.053
T. Shengelia,F,,15.5,156.01,190.2,12.271,1,0,36.94,-2.76,0.0,155.2,203.0,2.48,11.426
J. Nwora,F,,12.7,151.5,188.43,14.837,0,0,39.61,-2.68,0.0,151.4,182.0,2.62,11.426
W. Baldwin Iv,G,,12.4,137.03,185.83,14.987,0,0,47.41,1.39,0.0,137.6,196.0,3.1,13.825
T. Dorsey,G,,11.5,132.33,178.52,15.524,0,0,44.85,1.34,0.0,132.7,220.0,3.06,13.825
M. Kabengele,C,,13.8,147.01,177.22,12.842,1,0,28.34,1.88,0.0,147.0,166.0,2.23,14.053
M. Wright,C,,12.5,149.82,175.59,14.048,0,0,23.87,1.91,0.0,149.3,169.0,2.04,14.053
S. Larkin,G,,13.9,123.69,169.91,12.224,0,0,44.97,1.25,0.0,124.2,263.0,3.2,13.825
O. Moore,G,,11.2,132.15,168.04,15.003,0,0,34.55,1.34,0.0,132.4,182.0,2.62,13.825
C. Miller-mcintyre,G,,12.7,123.26,167.8,13.213,1,0,43.3,1.25,0.0,123.4,243.0,3.13,13.825
D. Theis,C,,13.3,146.49,165.76,12.463,0,0,17.4,1.87,0.0,144.9,181.0,1.81,14.053
E. Bryant,G,,16.3,134.7,162.74,9.984,0,0,26.68,1.36,0.0,131.4,224.0,2.26,13.825
T. Jones,C,,15.2,137.72,161.9,10.651,0,0,22.42,1.76,0.0,138.6,202.0,2.06,14.053
