Player,Pos,Team,CR,Base_Projection,Enhanced_Projection,Is_Starter
M. Wright,C,,12.7,149.5630645202021,176.24993571839937,0
L. Birutis,C,,6.5,67.3546992063492,67.94516536987847,0
T. Luwawu-cabarrot,F,,11.3,155.5447696789322,212.00767222897028,0
J. Nwora,F,,13.0,154.45689705988462,193.87314650727876,0
I. Mike,F,,9.7,122.44622532467538,146.76861445551648,0
E. Osmani,F,,8.3,109.91662698412706,131.75017037322405,0
N. Hifi,G,,13.8,174.15677094155853,264.76093065027294,0
T. Dorsey,G,,10.2,132.38233147546907,177.38901598121964,0
A. Obst,G,,8.9,121.99724047619053,146.87113216138883,0
S. Herrera,G,,5.6,69.4025077380953,76.56137314238667,0
