game_time,team,side,lineup_status,starters,may_not_play,may_not_play_count,lineup_confirmed,starter_1,starter_2,starter_3,starter_4,starter_5
,,AWAY,CONFIRMED,"['V. Micic', 'Elijah Bryant', 'C. Malcolm', 'J. Motley', 'Dan Oturu']",[],0,1,V. Micic,Elijah Bryant,C. Malcolm,J. Motley,Dan Oturu
,,HOME,CONFIRMED,"['Devon Hall', 'T. Horton-Tucker', 'T. Biberovic', 'Nicolo Melli', 'Khem Birch']",[],0,1,Devon Hall,T. Horton-Tucker,T. Biberovic,Nicolo Melli,Khem Birch
,,AWAY,CONFIRMED,"['Mike James', 'M. Strazel', 'Alpha Diallo', 'J. Blossomgame', 'Daniel Theis']",[],0,1,Mike James,M. Strazel,Alpha Diallo,J. Blossomgame,Daniel Theis
,,HOME,CONFIRMED,"['C. Miller-McIntyre', 'Ognjen Dobric', 'N. Kalinic', 'Semi Ojeleye', 'D. Motiejunas']",[],0,1,C. Miller-McIntyre,Ognjen Dobric,N. Kalinic,Semi Ojeleye,D. Motiejunas
,,AWAY,CONFIRMED,"['D. Thompson', 'Isaac Nogues', 'K. Taylor', 'Nate Reuvers', 'J. Pradilla']",[],0,1,D. Thompson,Isaac Nogues,K. Taylor,Nate Reuvers,J. Pradilla
,,HOME,CONFIRMED,"['Nadir Hifi', 'Jeremy Morgan', 'D. Hommes', ""Amath M'Baye"", 'Mouhamed Faye']",[],0,1,Nadir Hifi,Jeremy Morgan,D. Hommes,Amath M'Baye,Mouhamed Faye
,,AWAY,CONFIRMED,"['TJ Shorts', 'Kendrick Nunn', 'N. Rogkavopoulos', 'J. Hernangomez', 'K. Faried']",[],0,1,TJ Shorts,Kendrick Nunn,N. Rogkavopoulos,J. Hernangomez,K. Faried
,,HOME,CONFIRMED,"['F. Campazzo', 'Andres Feliz', 'Gabriel Deck', 'Trey Lyles', 'W. Tavares']",[],0,1,F. Campazzo,Andres Feliz,Gabriel Deck,Trey Lyles,W. Tavares
,,AWAY,CONFIRMED,"['Kobi Simmons', 'Rafa Villar', 'H. Diallo', 'T. Sedekerskis', 'Khalifa Diop']",[],0,1,Kobi Simmons,Rafa Villar,H. Diallo,T. Sedekerskis,Khalifa Diop
,,HOME,CONFIRMED,"['Tamir Blatt', 'L. Walker IV', 'O. Brissett', 'Roman Sorkin', 'Jaylen Hoard']",[],0,1,Tamir Blatt,L. Walker IV,O. Brissett,Roman Sorkin,Jaylen Hoard
,,AWAY,EXPECTED,"['S. Francisco', 'A. Butkevicius', 'I. Brazdeikis', 'E. Ulanovas', 'A. Tubelis']",[],0,0,S. Francisco,A. Butkevicius,I. Brazdeikis,E. Ulanovas,A. Tubelis
,,HOME,EXPECTED,"['M. Wright IV', 'K. Prepelic', 'Dwayne Bacon', 'F. Petrusev', 'M. Kabengele']",[],0,0,M. Wright IV,K. Prepelic,Dwayne Bacon,F. Petrusev,M. Kabengele
,,AWAY,EXPECTED,"['S. Dinwiddie', 'Andreas Obst', 'V. Lucic', 'Isiaha Mike', 'J. Voigtmann']",[],0,0,S. Dinwiddie,Andreas Obst,V. Lucic,Isiaha Mike,J. Voigtmann
,,HOME,EXPECTED,"['Shane Larkin', 'N. Weiler-Babb', 'I. Cordinier', 'Ercan Osmani', 'Rolands Smits']",[],0,0,Shane Larkin,N. Weiler-Babb,I. Cordinier,Ercan Osmani,Rolands Smits
,,AWAY,EXPECTED,"['Nick Calathes', 'D. Washington', 'S. Brown', 'A. Pokusevski', 'Tyrique Jones']",[],0,0,Nick Calathes,D. Washington,S. Brown,A. Pokusevski,Tyrique Jones
,,HOME,EXPECTED,"['Glynn Watson', 'David Lighty', 'Zac Seljaas', 'Bodian Massa', 'Mbaye Ndiaye']",[],0,0,Glynn Watson,David Lighty,Zac Seljaas,Bodian Massa,Mbaye Ndiaye
,,AWAY,EXPECTED,"['Luca Vildoza', 'C. Edwards', 'Karim Jallow', 'A. Smailagic', 'M. Diouf']",[],0,0,Luca Vildoza,C. Edwards,Karim Jallow,A. Smailagic,M. Diouf
,,HOME,EXPECTED,"['T. Satoransky', 'Kevin Punter', 'Joel Parra', 'T. Shengelia', 'Jan Vesely']",[],0,0,T. Satoransky,Kevin Punter,Joel Parra,T. Shengelia,Jan Vesely
,,AWAY,EXPECTED,"['Thomas Walkup', 'Tyler Dorsey', 'Evan Fournier', 'S. Vezenkov', 'N. Milutinov']",[],0,0,Thomas Walkup,Tyler Dorsey,Evan Fournier,S. Vezenkov,N. Milutinov
,,HOME,EXPECTED,"['Marko Guduric', 'Quinn Ellis', 'S. Shields', 'G. Ricci', 'Devin Booker']",[],0,0,Marko Guduric,Quinn Ellis,S. Shields,G. Ricci,Devin Booker
