game_time,team,side,position,player,status,title_text,likelihood_pct
,,,G,A. Avramovic,OUT,,
,,,F,Abramo Canka,OUT,,
,,,C,Allan Dokossi,GTD,,
,,,G,Arturs Zagars,OUT,,
,,,F,Bruno Caboclo,OUT,,
,,,G,Carlik Jones,OUT,,
,,,G,D. Giedraitis,OUT,,
,,,G,D. Graham,OUT,,
,,,F,David Kramer,GTD,,
,,,F,David Lighty,GTD,,
,,,G,Dzanan Musa,OUT,,
,,,F,Edwin Jackson,OUT,,
,,,C,Elias Harris,OUT,,
,,,C,G. Papagiannis,OUT,,
,,,G,Isaiah Canaan,OUT,,
,,,F,J. Anderson,GTD,,
,,,C,J. Voigtmann,GTD,,
,,,C,J. Voigtmann,GTD,,
,,,F,Jabari Parker,GTD,,
,,,G,Jared Rhoden,GTD,,
,,,C,Jasiel Rivero,OUT,,
,,,C,Jilson Bango,OUT,,
,,,C,Joel Bolomboy,OUT,,
,,,SG,Jordan Nwora,GTD,,
,,,F,Jordan Nwora,GTD,,
,,,C,Josh Nebo,GTD,,
,,,G,Juan Nunez,OUT,,
,,,C,K. Antetokounmpo,GTD,,
,,,G,Keenan Evans,OUT,,
,,,F,Lamar Stevens,OUT,,
,,,G,Lorenzo Brown,OUT,,
,,,C,M. Fall,OUT,,
,,,C,M. Kabengele,GTD,,
,,,C,M. Kabengele,GTD,,
,,,C,M. Lessort,OUT,,
,,,C,Mam Jaiteh,OUT,,
,,,F,Mario Nakic,OUT,,
,,,G,Markus Howard,OUT,,
,,,F,Melvin Ajinca,GTD,,
,,,G,N. Williams-Goss,OUT,,
,,,G,Nando de Colo,OUT,,
,,,G,Nate Mason,OUT,,
,,,F,Niels Giffey,GTD,,
,,,C,O. Yurtseven,OUT,,
,,,G,P. Kalaitzakis,GTD,,
,,,G,R. Beaubois,OUT,,
,,,C,R. Holmes,OUT,,
,,,G,R. Jokubaitis,OUT,,
,,,F,S. Harrison,GTD,,
,,,G,S. Wilbekin,GTD,,
,,,G,Stefan Jovic,GTD,,
,,,G,T. Heurtel,OUT,,
,,,F,Tomer Ginat,OUT,,
,,,G,Trent Forrest,OUT,,
,,,G,Tyson Carter,OUT,,
,,,F,V. Marinkovic,GTD,,
,,,C,V. Poirier,OUT,,
,,,G,V. Toliopoulos,GTD,,
,,,G,Y. Ouattara,GTD,,
,,,G,Yam Madar,OUT,,
,,,C,Yankuba Sima,GTD,,
,,,PF,Zach LeDay,GTD,,
,,,F,Zach LeDay,GTD,,
