game_date,book,player,team,opponent,market,line,lineup_status,over_odds,under_odds,p_over_imp,p_under_imp,p_over_fair,p_under_fair,p_over_model,edge_over,EV_over_1u,kelly_frac_over,projected_minutes,projection_mean,projection_sd,start_prob
2025-11-04,mgm,AJ Green,MIL,@TOR,AST,,EXPECTED,-118,-110.0,0.5412844036697247,0.5238095238095238,0.5082034454470877,0.49179655455291227,,,,0.0,25.2,1.7962802648544312,0.0,0.9
2025-11-04,caesars,AJ Green,MIL,@TOR,REB,,EXPECTED,-118,-115.0,0.5412844036697247,0.5348837209302325,0.5029738302934179,0.4970261697065821,,,,0.0,25.2,3.124664068222046,0.0,0.9
2025-11-04,caesars,Adem Bona,PHI,@CHI,REB,,EXPECTED,-108,-124.0,0.5192307692307693,0.5535714285714286,0.4839948783610755,0.5160051216389244,,,,0.0,31.2,7.8957624435424805,0.0,0.9
2025-11-04,caesars,Ajay Mitchell,OKC,@LAC,AST,,EXPECTED,-107,-127.0,0.5169082125603864,0.5594713656387665,0.4802285578710111,0.519771442128989,,,,0.0,19.2,1.53371000289917,0.0,0.9
2025-11-04,caesars,Ajay Mitchell,OKC,@LAC,REB,,EXPECTED,-107,-127.0,0.5169082125603864,0.5594713656387665,0.4802285578710111,0.519771442128989,,,,0.0,19.2,2.1754257678985596,0.0,0.9
2025-11-04,caesars,Alex Caruso,OKC,@LAC,AST,,EXPECTED,-125,-108.0,0.5555555555555556,0.5192307692307693,0.5168986083499005,0.48310139165009935,,,,0.0,18.0,3.024876594543457,0.0,0.9
2025-11-04,caesars,Alex Caruso,OKC,@LAC,REB,,EXPECTED,-115,-117.0,0.5348837209302325,0.5391705069124424,0.49800439034124927,0.5019956096587508,,,,0.0,18.0,3.8493096828460693,0.0,0.9
2025-11-04,betrivers,Anthony Black,ORL,@ATL,AST,,EXPECTED,-107,,0.5169082125603864,,,,,,,0.0,25.6,2.983945846557617,0.0,0.9
2025-11-04,betrivers,Anthony Black,ORL,@ATL,REB,,EXPECTED,-120,,0.5454545454545454,,,,,,,0.0,25.6,3.385955572128296,0.0,0.9
2025-11-04,betrivers,Ayo Dosunmu,CHI,PHI,AST,,EXPECTED,-129,,0.5633187772925764,,,,,,,0.0,29.8,3.754523992538452,0.0,0.9
2025-11-04,betrivers,Ayo Dosunmu,CHI,PHI,REB,,EXPECTED,-114,,0.5327102803738317,,,,,,,0.0,29.8,3.2542641162872314,0.0,0.9
2025-11-04,mgm,Bobby Portis,MIL,@TOR,AST,,EXPECTED,-110,-118.0,0.5238095238095238,0.5412844036697247,0.49179655455291227,0.5082034454470877,,,,0.0,26.0,2.9323272705078125,0.0,0.9
2025-11-04,caesars,Bobby Portis,MIL,@TOR,REB,,EXPECTED,-115,-117.0,0.5348837209302325,0.5391705069124424,0.49800439034124927,0.5019956096587508,,,,0.0,26.0,8.916888236999512,0.0,0.9
