player,team,opponent,market,line,p_over_model,over_dec,under_dec,ProjMins,ProjMean,ProjSD,POverImp,PUnderImp,POverFair,PUnderFair,p_under_model,p_over_imp,p_under_imp,p_over_fair,p_under_fair,edge_under,EV_under_1u
Jarace Walker,IND,BKN,AST,3.5,0.030286347469941,1.6756756756756757,2.05,17.8,1.276035062968731,1.1851022286204125,0.5967741935483871,0.4878048780487805,0.5502357635110628,0.4497642364889372,0.969713652530059,0.5967741935483871,0.48780487804878053,0.5502357635110627,0.44976423648893726,0.5199494160411218,0.987912987686621
Jarace Walker,IND,BKN,REB,6.5,0.0323476328761271,1.7194244604316546,2.0700000000000003,17.8,3.256302934885025,1.7558572776319177,0.5815899581589958,0.4830917874396135,0.5462570956657111,0.4537429043342889,0.9676523671238729,0.5815899581589958,0.48309178743961345,0.5462570956657111,0.4537429043342889,0.513909462789584,1.0030403999464172
Kyshawn George,WAS,@BOS,PTS,13.5,0.0464169544800536,1.819672131147541,1.9615384615384617,20.4,6.694249749183654,4.049512137226291,0.5495495495495496,0.5098039215686274,0.5187593796898449,0.4812406203101549,0.9535830455199464,0.5495495495495495,0.5098039215686274,0.5187593796898449,0.4812406203101551,0.47234242520979136,0.8704898200583566
Jarace Walker,IND,BKN,PTS,15.5,0.014081497623675,1.9174311926605505,1.8064516129032255,17.8,7.288191866874695,3.741128341988116,0.5215311004784688,0.5535714285714286,0.485098943018358,0.5149010569816419,0.985918502376325,0.5215311004784688,0.5535714285714286,0.48509894301835804,0.5149010569816419,0.47101744539468304,0.7810140688088448
Lauri Markkanen,UTA,@DET,PTS,25.5,0.028631077692898,1.9615384615384617,1.819672131147541,26.8,14.992172980308531,5.526641139981594,0.5098039215686274,0.5495495495495496,0.4812406203101549,0.5187593796898449,0.971368922307102,0.5098039215686274,0.5495495495495495,0.4812406203101551,0.5187593796898449,0.45260954261725717,0.7675729569850546
Neemias Queta,BOS,WAS,PTS,9.5,0.0209879888903327,2.02,1.763358778625954,13.0,3.930223196744919,2.738662205732334,0.495049504950495,0.5670995670995671,0.466082886082079,0.533917113917921,0.9790120111096673,0.49504950495049505,0.5670995670995672,0.466082886082079,0.5339171139179211,0.4450948971917462,0.7263494241704818
Isaiah Stewart,DET,UTA,PTS,14.5,0.03440363424615,2.01,1.7751937984496124,22.0,6.676005303859711,4.299646689070429,0.4975124378109453,0.5633187772925764,0.468983595813963,0.5310164041860369,0.96559636575385,0.49751243781094534,0.5633187772925764,0.46898359581396304,0.5310164041860369,0.4345799615678131,0.7141206802917183
Pascal Siakam,IND,BKN,AST,5.5,0.1241936970839461,1.7692307692307692,1.9803921568627447,30.0,3.210578039288521,1.9834283219909936,0.5652173913043478,0.504950495049505,0.5281576830249397,0.4718423169750604,0.8758063029160539,0.5652173913043479,0.5049504950495051,0.5281576830249396,0.4718423169750603,0.4039639859409936,0.7344399332259103
Pascal Siakam,IND,BKN,PTS,26.5,0.0803782666612341,1.9523809523809523,1.819672131147541,30.0,17.896031141281128,6.134598528185295,0.5121951219512195,0.5495495495495496,0.4824089403973509,0.517591059602649,0.919621733338766,0.5121951219512195,0.5495495495495495,0.48240894039735105,0.517591059602649,0.402030673736117,0.6734100393541479
Kyshawn George,WAS,@BOS,REB,6.5,0.0383963432103955,2.18,1.6329113924050631,20.4,3.104150104522705,1.9189856971554609,0.4587155963302752,0.6124031007751938,0.4282584157758449,0.571741584224155,0.9616036567896045,0.4587155963302752,0.6124031007751939,0.42825841577584484,0.5717415842241551,0.38986207256544936,0.5702135661501134
