Player,POverModel,OverDecimal,Team,Opponent,Market,line_dfD,ProjMean,ProjSD,ProjMins,POverImp,POverFair,p_over_price,edge_over,EV_over_1u
Adem Bona,0.956209215,2.33,PHI,@CHI,REB,3.5,8.626885128,3.001170375,31.2,0.429184549,0.403792395,0.4291845493562232,0.5270246656437768,1.22796747095
Kristaps Porzingis,0.978429795,2.15,ATL,ORL,AST,2.5,6.863420606,2.15760123,30.0,0.465116279,0.433489163,0.46511627906976744,0.5133135159302327,1.10362405925
Moussa Diabate,0.963530928,2.15,CHA,@NOP,AST,0.5,2.829034328,1.298801882,17.0,0.465116279,0.436681223,0.46511627906976744,0.4984146489302325,1.0715914951999999
Nikola Vucevic,0.966827435,2.08,CHI,PHI,AST,3.5,7.609919375,2.238414907,30.8,0.480769231,0.451807229,0.4807692307692307,0.4860582042307693,1.0110010648000003
Kristaps Porzingis,0.983849855,1.909090909,ATL,ORL,PTS,17.5,33.04973245,7.263940335,30.0,0.523809524,0.491796555,0.5238095238344671,0.4600403311655329,0.8782588140014681
Brandon Ingram,0.846082496,2.4,TOR,MIL,AST,4.5,7.018016613,2.469187522,36.2,0.416666667,0.388739946,0.4166666666666667,0.4294158293333333,1.0305979903999998
Desmond Bane,0.941003277,1.909090909,ORL,@ATL,PTS,16.5,27.89981699,7.292375433,34.6,0.523809524,0.491796555,0.5238095238344671,0.41719375316553287,0.7964608014599086
Adem Bona,0.925367565,1.943396226,PHI,@CHI,PTS,3.5,12.22747071,6.051779546,31.2,0.514563107,0.477383575,0.5145631069060232,0.4108044580939767,0.7983558334838096
Desmond Bane,0.957778499,1.81300813,ORL,@ATL,AST,3.5,7.666268381,2.414571692,34.6,0.551569507,0.518507094,0.5515695067511914,0.4062089922488086,0.736460205426197
Giannis Antetokounmpo,0.947599974,1.819672131,MIL,@TOR,AST,6.5,10.80639428,2.654965109,36.4,0.54954955,0.514183822,0.5495495495941076,0.39805042440589233,0.7243212640241244
Nikola Vucevic,0.92878763,1.869565217,CHI,PHI,PTS,18.5,28.70138988,6.95476102,30.8,0.534883721,0.49702617,0.534883721042185,0.393903908957815,0.7364290470278656
Mark Williams,0.933070515,1.8,PHX,@GSW,REB,8.5,13.47280816,3.317291972,31.4,0.555555556,0.520304569,0.5555555555555556,0.37751495944444446,0.6795269270000002
Bradley Beal,0.867866341,2.02,LAC,OKC,PTS,10.5,17.11660824,5.926939189,28.8,0.495049505,0.462092732,0.49504950495049505,0.372816836049505,0.7530900088200001
Kyle Kuzma,0.946690073,1.740740741,MIL,@TOR,PTS,8.5,17.65172038,5.671707799,26.4,0.574468085,0.534653465,0.5744680850208239,0.37222198797917605,0.647941979171364
Sandro Mamukelashvili,0.87515048,1.980392157,TOR,MIL,PTS,6.5,11.54686775,4.384460439,19.2,0.504950495,0.473529891,0.5049504950145084,0.37019998498549156,0.7331411467867853
Bradley Beal,0.775510735,2.45,LAC,OKC,AST,2.5,3.970980835,1.942865914,28.8,0.408163265,0.381753478,0.4081632653061224,0.3673474696938776,0.9000013007500002
Onyeka Okongwu,0.834443325,2.11,ATL,ORL,REB,8.5,11.84321957,3.439973036,35.4,0.473933649,0.445385514,0.47393364928909953,0.3605096757109004,0.7606754157499999
Cole Anthony,0.845390538,2.02,MIL,@TOR,PTS,9.5,14.33543199,4.755247433,17.0,0.495049505,0.466910272,0.49504950495049505,0.3503410330495049,0.70768888676
Bobby Portis,0.856580115,1.952380952,MIL,@TOR,PTS,9.5,15.30061626,5.446179412,26.0,0.512195122,0.479695431,0.51219512205116,0.34438499294883995,0.6723707003879694
Kevin Huerter,0.764962555,2.35,CHI,PHI,AST,2.5,4.071505159,2.175523611,32.8,0.425531915,0.400728597,0.425531914893617,0.33943064010638296,0.7976620042500001
