Player,Market,OverDecimal,POverModel,Team,Opponent,line_dfD,ProjMean,ProjSD,ProjMins,POverImp,POverFair,p_over_price,edge_over,EV_over_1u,label,_color
Nikola Jovic,PTS,2.02,0.981643781966781,MIA,@DEN,9.5,22.88754496574402,6.40875082810069,29.6,0.495049504950495,0.4620927318295739,0.49504950495049505,0.486594277016286,0.9829204395728978,Nikola Jovic o9.5,C0
Kentavious Caldwell-Pope,REB,2.25,0.9118514235376236,MEM,HOU,2.5,6.014941161870956,2.5993387226626425,27.4,0.4444444444444444,0.4122310305775764,0.4444444444444444,0.4674069790931792,1.051665702959653,Kentavious Caldwell-Pope o2.5,C1
Kentavious Caldwell-Pope,PTS,1.900900900900901,0.9897014022083336,MEM,HOU,8.5,22.85234122276306,6.198945201725719,27.4,0.5260663507109005,0.4958445875753168,0.5260663507109005,0.4636350514974331,0.8813242870807063,Kentavious Caldwell-Pope o8.5,C0
Kel'el Ware,REB,2.18,0.9053940685372736,MIA,@DEN,5.5,9.233449816703796,2.843635806130731,28.0,0.4587155963302752,0.4282584157758449,0.4587155963302752,0.44667847220699836,0.9737590694112565,Kel'el Ware o5.5,C1
Nikola Jokic,PTS,1.9803921568627447,0.9417702763356992,DEN,MIA,26.5,39.58212685585022,8.333576292732053,38.0,0.504950495049505,0.4718423169750604,0.5049504950495051,0.43681978128619414,0.8650744688216785,Nikola Jokic o26.5,C0
Bam Adebayo,AST,2.14,0.8834244970588649,MIA,@DEN,3.5,6.3224523782730095,2.3672707346409565,34.8,0.4672897196261682,0.4384883598069947,0.4672897196261682,0.4161347774326967,0.8905284237059712,Bam Adebayo o3.5,C2
Andrew Wiggins,AST,2.15,0.8768199904660716,MIA,@DEN,2.5,4.914358377456665,2.082715227655347,30.6,0.4651162790697674,0.4373408272591551,0.46511627906976744,0.4117037113963042,0.8851629795020539,Andrew Wiggins o2.5,C2
CJ McCollum,PTS,1.847457627118644,0.9378400510230628,WAS,@BOS,14.5,24.4715179681778,6.488108241644367,29.2,0.5412844036697247,0.510397604391948,0.5412844036697247,0.39655564735333804,0.7326197552798956,CJ McCollum o14.5,C0
Kentavious Caldwell-Pope,AST,1.9345794392523368,0.9079440201027136,MEM,HOU,2.5,5.05990699827671,1.9273501765077288,27.4,0.5169082125603864,0.481981981981982,0.5169082125603864,0.39103580754232714,0.75648983328282,Kentavious Caldwell-Pope o2.5,C2
CJ McCollum,AST,2.35,0.7852516972037795,WAS,@BOS,3.5,5.094361048936844,2.018042232427121,29.2,0.425531914893617,0.4002320185614849,0.425531914893617,0.3597197823101625,0.8453414884288819,CJ McCollum o3.5,C2
Josh Hart,AST,2.16,0.8168635627073335,NYK,MIN,3.5,5.752809226512909,2.4934886282202946,37.4,0.4629629629629629,0.4329742261011864,0.4629629629629629,0.3539005997443706,0.7644252954478405,Josh Hart o3.5,C2
Bam Adebayo,PTS,2.02,0.8328326184666024,MIA,@DEN,20.5,27.54451432228088,7.296843167960321,34.8,0.495049504950495,0.4620927318295739,0.49504950495049505,0.33778311351610735,0.6823218893025369,Bam Adebayo o20.5,C0
Shaedon Sharpe,AST,2.3,0.7653278138666741,POR,OKC,2.5,4.223500302433968,2.3820182719894776,36.2,0.4347826086956521,0.4054054054054054,0.4347826086956522,0.3305452051710219,0.7602539718933504,Shaedon Sharpe o2.5,C2
Josh Hart,REB,1.9615384615384617,0.8147166601689058,NYK,MIN,6.5,9.6240249812603,3.4889231097496767,37.4,0.5098039215686274,0.4759152215799614,0.5098039215686274,0.30491273860027834,0.5980980641774691,Josh Hart o6.5,C1
Kel'el Ware,PTS,2.04,0.793884411159017,MIA,@DEN,8.5,13.077369570732117,5.582337981079635,28.0,0.4901960784313725,0.4581151832460733,0.49019607843137253,0.30368833272764445,0.6195241987643947,Kel'el Ware o8.5,C0
Caris LeVert,PTS,1.925925925925926,0.8216934805617166,DET,UTA,10.5,15.354105520248412,5.265681253621311,24.4,0.5192307692307693,0.485816177662506,0.5192307692307692,0.3024627113309475,0.582520777378121,Caris LeVert o10.5,C0
Derrick White,AST,1.6711409395973154,0.8956715892893582,BOS,WAS,4.5,7.47525767982006,2.3664477897553824,33.8,0.5983935742971888,0.5626591727408448,0.5983935742971888,0.29727801499216944,0.49679346129563884,Derrick White o4.5,C2
Jonas Valanciunas,PTS,1.9523809523809523,0.806724353202495,DEN,MIA,7.5,11.711739349365232,4.864066450009006,11.2,0.5121951219512195,0.476232917409388,0.5121951219512195,0.2945292312512755,0.575033261014395,Jonas Valanciunas o7.5,C0
Darius Garland,PTS,1.847457627118644,0.8317670781121063,CLE,PHI,14.5,20.78582124710083,6.539748573424087,31.8,0.5412844036697247,0.5060689431946916,0.5412844036697247,0.2904826744423815,0.5366544324443997,Darius Garland o14.5,C0
