Player,Market,OverDecimal,POverModel,Team,Opponent,Line,ProjMean,ProjSD,ProjMins,POverImp,POverFair,p_over_price,edge_over,EV_over_1u,label
T.J. McConnell,PTS,2.0700000000000003,0.9731180633067278,IND,@PHX,9.5,21.30563051998616,6.120921574032798,27.75,0.4830917874396135,0.4494175914885811,0.48309178743961345,0.49002627586711434,1.0143543910449269,T.J. McConnell o9.5
Jusuf Nurkic,AST,2.1,0.9335711612162508,UTA,ATL,3.5,6.48716327548027,1.9875627994379164,26.0,0.4761904761904761,0.4438081603435934,0.47619047619047616,0.45738068502577467,0.9604994385541269,Jusuf Nurkic o3.5
Donovan Mitchell,REB,2.1,0.8547165620411439,CLE,TOR,4.5,7.776669514179229,3.1003264676500843,32.8,0.4761904761904761,0.449438202247191,0.47619047619047616,0.3785260858506677,0.7949047802864022,Donovan Mitchell o4.5
Isaiah Collier,PTS,1.9090909090909087,0.8695470608422718,UTA,ATL,8.5,14.287166118621826,5.147567450933123,24.0,0.5238095238095238,0.4898785425101215,0.523809523809524,0.3457375370327479,0.6600443888807005,Isaiah Collier o8.5
Isaiah Jackson,REB,1.6896551724137931,0.8717973224292063,IND,@PHX,5.5,8.379518628120422,2.5371810631083647,22.0,0.5918367346938775,0.5517746066593486,0.5918367346938775,0.2799605877353287,0.47303685513900373,Isaiah Jackson o5.5
Keyonte George,PTS,1.9090909090909087,0.8028500666555922,UTA,ATL,19.5,25.514678764343262,7.06076276732445,33.6,0.5238095238095238,0.4937655860349127,0.523809523809524,0.2790405428460683,0.5327137636152213,Keyonte George o19.5
Jarace Walker,PTS,2.0,0.7463141951066901,IND,@PHX,9.5,13.518427312374117,6.061562404410855,30.8,0.5,0.4653465346534653,0.5,0.24631419510669006,0.4926283902133801,Jarace Walker o9.5
Dyson Daniels,AST,1.8547008547008548,0.7849414624843905,ATL,@UTA,6.5,8.512241542339325,2.5503975402351653,36.2,0.5391705069124424,0.5040451438048622,0.5391705069124424,0.24577095557194806,0.45583160135993794,Dyson Daniels o6.5
Lauri Markkanen,PTS,1.9090909090909087,0.7625367412179387,UTA,ATL,25.5,30.74405879974365,7.339621089173305,33.2,0.5238095238095238,0.4898785425101215,0.523809523809524,0.23872721740841474,0.45575196050697353,Lauri Markkanen o25.5
T.J. McConnell,REB,1.8333333333333333,0.7775790954090938,IND,@PHX,2.5,4.466929145157337,2.5743707751338385,27.75,0.5454545454545454,0.5079872204472844,0.5454545454545455,0.23212454995454823,0.42556167491667185,T.J. McConnell o2.5
Lauri Markkanen,AST,1.6896551724137931,0.8217193331701911,UTA,ATL,1.5,3.530389997363091,2.2023083533964307,33.2,0.5918367346938775,0.554140127388535,0.5918367346938775,0.22988259847631354,0.3884223215634264,Lauri Markkanen o1.5
Ryan Dunn,AST,2.75,0.5884087392577316,PHX,IND,1.5,1.8751272246241568,1.6787703950218356,25.4,0.3636363636363636,0.3414012738853503,0.36363636363636365,0.22477237562136798,0.618124032958762,Ryan Dunn o1.5
Jusuf Nurkic,REB,1.847457627118644,0.7594304925417525,UTA,ATL,10.5,12.684443533420565,3.1008247297559266,26.0,0.5412844036697247,0.5060689431946916,0.5412844036697247,0.2181460888720278,0.40301565571272924,Jusuf Nurkic o10.5
