PLAYER_ID,Player,NICKNAME,TEAM_ID,Team,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT,player_key,team_key,Pos,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1631260,AJ Green,AJ,1610612749,MIL,26.0,8,5,3,0.625,27.0,4.0,7.0,0.571,3.4,6.4,0.529,0.9,1.4,0.636,0.0,2.3,2.3,1.1,0.9,0.3,0.0,0.0,3.6,1.4,12.3,2.6,16.5,0,0,19.5,34,32,182,136,129,147,184,75,13,43,29,239,226,291,385,218,276,272,238,322,299,326,17,207,130,124,223,96,7,180,1,aj green,MIL,SG,26.0,8.0,216.0,11.9,0.805,0.911,0.196,0.0,9.0,4.6,5.4,0.4,0.0,10.3,13.5,0.4,0.1,0.5,0.114,0.3,-2.0,-1.7,0.0
1642358,AJ Johnson,AJ,1610612764,WAS,20.0,6,0,6,0.0,4.3,0.2,1.0,0.167,0.0,0.0,0.0,0.2,0.3,0.5,0.3,0.3,0.7,0.3,0.0,0.0,0.0,0.5,0.2,0.3,0.5,-1.3,1.8,0,0,1.5,256,411,23,411,413,427,408,427,342,391,342,355,353,324,321,400,396,373,397,370,299,115,423,352,427,267,431,96,7,434,1,aj johnson,WAS,SG,21.0,6.0,26.0,1.9,0.218,0.0,0.333,7.8,8.0,7.9,9.4,0.0,0.0,0.0,10.9,0.0,0.0,-0.1,-0.102,-6.2,-4.1,-10.3,-0.1
203932,Aaron Gordon,Aaron,1610612743,DEN,30.0,7,5,2,0.714,30.3,6.7,12.1,0.553,2.3,5.1,0.444,4.7,5.0,0.943,1.0,4.7,5.7,1.7,1.9,0.9,0.1,0.3,1.7,3.9,20.4,8.6,31.0,0,0,32.1,182,32,252,82,88,53,81,87,55,83,73,40,47,63,143,63,80,200,99,151,257,218,248,56,44,25,82,96,7,66,1,aaron gordon,DEN,PF,30.0,7.0,212.0,20.6,0.712,0.424,0.412,3.9,16.3,10.5,7.9,1.3,0.5,11.5,22.4,0.6,0.3,0.9,0.21,3.8,-0.7,3.1,0.2
1628988,Aaron Holiday,Aaron,1610612745,HOU,29.0,4,4,0,1.0,6.6,1.0,1.8,0.571,0.5,1.0,0.5,0.8,0.8,1.0,0.0,0.8,0.8,1.0,1.0,0.0,0.0,0.0,0.8,0.8,3.3,-0.3,4.7,0,0,5.5,333,110,418,1,377,335,386,75,264,308,34,255,295,1,385,365,393,278,207,370,299,326,361,295,331,219,389,96,7,360,1,aaron holiday,HOU,PG,29.0,4.0,26.0,11.6,0.781,0.571,0.429,0.0,12.1,6.5,21.1,0.0,0.0,32.5,19.7,0.0,0.0,0.0,0.086,-2.3,-2.4,-4.7,0.0
1630174,Aaron Nesmith,Aaron,1610612754,IND,26.0,8,1,7,0.125,32.1,4.9,14.3,0.342,2.9,8.4,0.343,2.1,3.1,0.68,1.9,3.3,5.1,1.1,0.9,0.4,0.3,1.1,2.4,3.0,14.8,-3.8,23.6,0,0,25.1,34,332,1,390,57,114,50,362,25,18,183,117,94,264,60,131,109,272,238,292,196,11,125,84,97,351,149,96,7,123,1,aaron nesmith,IND,SF,26.0,8.0,256.0,8.9,0.472,0.588,0.219,5.4,11.1,8.0,5.5,0.6,0.7,5.3,20.7,-0.1,0.2,0.1,0.017,-2.3,-2.5,-4.8,-0.2
1630598,Aaron Wiggins,Aaron,1610612760,OKC,26.0,9,8,1,0.889,27.6,5.7,12.3,0.459,2.8,6.7,0.417,0.7,1.0,0.667,1.0,2.7,3.7,2.2,1.0,0.4,0.8,0.4,2.2,0.7,14.8,10.0,25.2,0,0,25.9,1,1,342,34,121,86,79,226,28,35,101,267,257,266,143,176,176,161,207,274,72,152,162,304,96,13,127,96,7,111,1,aaron wiggins,OKC,SG,27.0,9.0,248.0,15.2,0.578,0.541,0.081,4.0,10.1,7.2,12.3,0.8,2.9,7.3,21.6,0.3,0.4,0.7,0.126,1.4,-1.4,0.1,0.1
1642846,Ace Bailey,Ace,1610612762,UTA,19.0,8,3,5,0.375,17.7,2.0,6.3,0.32,0.3,1.9,0.133,0.9,1.0,0.875,1.4,1.6,3.0,1.4,1.1,0.3,0.1,0.4,1.9,1.1,5.1,-9.9,10.8,0,0,10.5,34,186,50,280,244,261,203,384,313,258,334,239,257,99,99,268,214,242,196,322,274,171,218,237,270,437,292,96,7,286,1,ace bailey,UTA,SF,19.0,8.0,142.0,4.0,0.383,0.3,0.16,8.4,9.7,9.0,11.4,0.7,0.7,14.4,18.1,-0.3,0.1,-0.2,-0.066,-6.8,-2.7,-9.5,-0.3
1641737,Adem Bona,Adem,1610612755,PHI,22.0,8,5,3,0.625,16.9,0.9,2.0,0.438,0.0,0.1,0.0,0.8,1.5,0.5,1.5,1.8,3.3,0.4,0.9,0.5,1.6,0.1,1.8,1.3,2.5,-1.1,12.5,0,0,10.4,34,32,182,136,256,361,361,260,342,388,342,255,214,324,85,259,205,370,238,243,11,300,235,218,358,259,272,96,7,289,1,adem bona,PHI,C,22.0,8.0,135.0,8.1,0.47,0.063,0.75,9.8,11.9,10.8,2.7,1.4,8.8,24.8,8.6,-0.1,0.1,0.1,0.029,-5.0,0.7,-4.3,-0.1
1642349,Ajay Mitchell,Ajay,1610612760,OKC,23.0,9,8,1,0.889,27.1,6.0,13.1,0.458,1.1,3.9,0.286,3.6,3.8,0.941,1.0,2.7,3.7,3.4,1.8,1.6,0.1,0.7,2.7,3.6,16.7,8.2,29.5,0,0,28.2,1,1,342,34,127,68,67,232,188,144,251,61,76,64,143,176,176,86,106,35,296,81,88,67,77,29,95,96,7,93,1,ajay mitchell,OKC,SG,23.0,9.0,244.0,18.1,0.564,0.297,0.288,4.1,10.3,7.3,19.8,2.8,0.4,10.7,26.4,0.3,0.4,0.7,0.147,-0.2,0.2,0.0,0.1
201143,Al Horford,Al,1610612744,GSW,39.0,6,3,3,0.5,22.0,1.8,6.2,0.297,0.8,4.0,0.208,0.0,0.0,0.0,1.0,3.5,4.5,1.3,1.5,0.7,0.5,0.3,2.0,0.5,4.5,-6.2,13.9,0,0,13.5,256,186,182,195,198,277,206,395,230,138,309,364,372,364,143,115,131,247,140,193,106,195,183,329,288,403,254,96,7,259,1,al horford,GSW,C,39.0,6.0,132.0,3.3,0.365,0.649,0.0,5.2,18.4,11.8,8.1,1.4,2.1,19.6,14.9,-0.3,0.2,-0.2,-0.063,-7.3,-0.8,-8.0,-0.2
