player,may_not_play,injury_prob
D. Finney-Smith,1.0,1.0
F. VanVleet,1.0,1.0
K. Porter,1.0,1.0
T. Prince,1.0,1.0
Cam Thomas,1.0,1.0
H. Highsmith,1.0,1.0
J. Tatum,1.0,1.0
A. Wiggins,1.0,1.0
J. Williams,1.0,1.0
K. Williams,1.0,1.0
L. Dort,1.0,1.0
N. Topic,1.0,1.0
T. Sorber,0.0,0.0
B. Clarke,1.0,1.0
J. Small,1.0,1.0
S. Pippen,1.0,1.0
Ty Jerome,1.0,1.0
Zach Edey,1.0,1.0
M. Wagner,1.0,1.0
I. Stewart,1.0,1.0
Jaden Ivey,1.0,1.0
M. Sasser,1.0,1.0
T. Harris,1.0,1.0
D. Barlow,1.0,1.0
J. Broome,1.0,1.0
J. Embiid,1.0,1.0
P. George,1.0,1.0
A. Nesmith,1.0,1.0
B. Mathurin,1.0,1.0
J. Furphy,1.0,1.0
Kam Jones,1.0,1.0
Obi Toppin,1.0,1.0
P. Siakam,1.0,1.0
Q. Jackson,1.0,1.0
T. Haliburton,0.0,0.0
T. McConnell,1.0,1.0
T. Peter,1.0,0.5
A. Horford,1.0,0.5
D. Melton,1.0,1.0
S. Curry,1.0,0.5
T. Shannon,1.0,1.0
D. Sabonis,1.0,0.5
K. Murray,1.0,1.0
