game_time,team,side,lineup_status,starters,may_not_play,may_not_play_count,lineup_confirmed,starter_1,starter_2,starter_3,starter_4,starter_5
,CHI,AWAY,EXPECTED,"['Tre Jones', 'Isaac Okoro', 'Matas Buzelis', 'N. Vucevic', 'Tre Jones']","['J. Giddey', 'Z. Collins', 'Coby White', 'C. Cunningham', 'D. Robinson', 'Javonte Green', 'R. Holland', 'J. Duren']",8,0,Tre Jones,Isaac Okoro,Matas Buzelis,N. Vucevic,Tre Jones
,DET,HOME,EXPECTED,"['D. Robinson', 'Javonte Green', 'R. Holland', 'C. Cunningham', 'D. Robinson']","['J. Duren', 'C. Cunningham', 'I. Stewart', 'T. Harris', 'Jaden Ivey', 'M. Sasser', 'A. Thompson', 'Jalen Suggs', 'Desmond Bane', 'Franz Wagner', 'P. Banchero', 'W. Carter']",12,0,D. Robinson,Javonte Green,R. Holland,C. Cunningham,D. Robinson
,ORL,AWAY,EXPECTED,"['Jalen Suggs', 'Desmond Bane', 'Franz Wagner', 'P. Banchero', 'W. Carter']","['M. Wagner', 'Jalen Brunson', 'Mikal Bridges', 'OG Anunoby', 'K. Towns', 'M. Robinson']",6,0,Jalen Suggs,Desmond Bane,Franz Wagner,P. Banchero,W. Carter
,NYK,HOME,EXPECTED,"['Jalen Brunson', 'Mikal Bridges', 'OG Anunoby', 'K. Towns', 'Jalen Brunson']","['M. Robinson', 'Ryan Rollins', 'AJ Green', 'Gary Trent', 'G. Antetokounmpo', 'Myles Turner']",6,0,Jalen Brunson,Mikal Bridges,OG Anunoby,K. Towns,Jalen Brunson
,MIL,AWAY,EXPECTED,"['Ryan Rollins', 'AJ Green', 'Gary Trent', 'Myles Turner', 'Ryan Rollins']","['G. Antetokounmpo', 'K. Porter', 'T. Prince', 'C. Sexton', 'Sion James', 'Kon Knueppel', 'Miles Bridges', 'R. Kalkbrenner']",8,0,Ryan Rollins,AJ Green,Gary Trent,Myles Turner,Ryan Rollins
,CHA,HOME,EXPECTED,"['Sion James', 'Kon Knueppel', 'Miles Bridges', 'R. Kalkbrenner', 'C. Sexton']","['P. Connaughton', 'C. Sexton', 'K. Simpson', 'L. Ball', 'Josh Green', 'B. Miller', 'G. Williams', 'Ja Morant', 'K. Caldwell-Pope', 'Jaylen Wells', 'Jaren Jackson', 'Jock Landale']",12,0,Sion James,Kon Knueppel,Miles Bridges,R. Kalkbrenner,C. Sexton
,MEM,AWAY,EXPECTED,"['Ja Morant', 'K. Caldwell-Pope', 'Jaylen Wells', 'Jaren Jackson', 'Jock Landale']","['J. Small', 'Z. Edey', 'B. Clarke', 'Ty Jerome', 'S. Pippen', 'Derrick White', 'P. Pritchard', 'Jaylen Brown', 'Josh Minott', 'Neemias Queta']",10,0,Ja Morant,K. Caldwell-Pope,Jaylen Wells,Jaren Jackson,Jock Landale
,BOS,HOME,EXPECTED,"['Derrick White', 'P. Pritchard', 'Jaylen Brown', 'Josh Minott', 'Neemias Queta']","['J. Tatum', 'Lonzo Ball', 'Sam Merrill', 'D. Hunter', 'Dean Wade', 'Jarrett Allen']",6,0,Derrick White,P. Pritchard,Jaylen Brown,Josh Minott,Neemias Queta
,CLE,AWAY,EXPECTED,"['Lonzo Ball', 'Sam Merrill', 'D. Hunter', 'Dean Wade', 'Jarrett Allen']","['L. Nance', 'D. Garland', 'D. Mitchell', 'E. Mobley', 'Max Strus', 'J. Tyson', 'D. Mitchell', 'Norman Powell', 'Pelle Larsson', 'A. Wiggins', ""Kel'el Ware""]",11,0,Lonzo Ball,Sam Merrill,D. Hunter,Dean Wade,Jarrett Allen
,MIA,HOME,EXPECTED,"['D. Mitchell', 'Norman Powell', 'Pelle Larsson', 'A. Wiggins', ""Kel'el Ware""]","['B. Adebayo', 'T. Herro', 'T. Rozier', 'Jrue Holiday', 'S. Sharpe', 'T. Camara', 'Deni Avdija', 'D. Clingan']",8,0,D. Mitchell,Norman Powell,Pelle Larsson,A. Wiggins,Kel'el Ware
