PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT
1631260,AJ Green,AJ,1610612749,MIL,26.0,21,9,12,0.429,29.0,3.6,7.3,0.494,3.3,6.8,0.493,0.8,1.0,0.762,0.0,2.8,2.9,2.1,0.8,0.6,0.0,0.1,2.9,1.4,11.3,0.5,19.0,0,0,20.9,1,148,68,290,110,187,206,161,10,38,44,286,292,254,448,189,253,188,280,280,399,364,50,213,166,207,218,142,17,183,1
1642358,AJ Johnson,AJ,1610612764,WAS,20.0,9,0,9,0.0,4.8,0.2,1.3,0.167,0.0,0.3,0.0,0.3,0.4,0.75,0.2,0.4,0.7,0.4,0.2,0.0,0.0,0.4,0.3,0.3,0.8,-1.9,2.0,0,0,1.9,354,464,121,464,449,474,449,472,414,427,414,372,384,262,412,454,452,405,430,440,404,191,464,406,471,322,474,142,17,477,1
203932,Aaron Gordon,Aaron,1610612743,DEN,30.0,13,10,3,0.769,28.3,6.3,11.8,0.532,2.2,4.8,0.444,4.0,4.6,0.867,1.5,4.5,5.9,1.3,1.4,0.8,0.2,0.4,1.8,3.4,18.8,12.7,29.5,2,0,30.2,283,123,360,62,119,72,98,86,72,116,61,51,56,103,99,75,76,276,154,195,262,214,237,69,56,5,102,64,17,88,1
1628988,Aaron Holiday,Aaron,1610612745,HOU,29.0,12,11,1,0.917,14.0,2.5,5.9,0.423,1.7,4.2,0.4,1.6,1.8,0.905,0.2,0.6,0.8,1.2,0.8,0.4,0.1,0.2,1.3,1.5,8.3,6.0,11.6,0,0,12.8,300,92,423,35,320,260,244,326,118,151,115,166,190,71,424,434,446,298,269,334,375,346,333,203,226,53,316,142,17,287,1
1630174,Aaron Nesmith,Aaron,1610612754,IND,26.0,11,1,10,0.091,30.4,4.9,13.4,0.367,2.8,7.5,0.373,2.8,3.5,0.795,1.5,2.9,4.5,1.5,0.7,0.8,0.3,0.9,2.5,3.5,15.5,-3.9,25.7,0,0,26.5,323,429,103,457,85,123,72,405,26,26,161,85,89,205,88,177,149,249,300,171,234,38,101,65,99,399,135,142,17,119,1
1630598,Aaron Wiggins,Aaron,1610612760,OKC,26.0,10,9,1,0.9,26.8,5.3,11.5,0.461,2.6,6.3,0.413,0.6,0.9,0.667,1.0,2.4,3.4,2.4,1.0,0.5,0.7,0.4,2.4,0.6,13.8,9.9,24.1,0,0,24.6,340,148,423,37,143,105,104,239,38,52,95,318,309,341,155,224,210,164,227,299,86,206,112,356,114,16,152,142,17,140,1
1642846,Ace Bailey,Ace,1610612762,UTA,19.0,19,6,13,0.316,21.8,3.9,8.5,0.463,1.4,3.8,0.356,0.8,1.0,0.842,1.6,1.7,3.4,1.7,1.3,0.8,0.2,0.2,2.3,0.9,10.1,-5.3,18.2,0,0,18.4,84,232,52,347,214,170,169,232,160,162,197,271,292,139,80,289,215,233,164,186,318,321,135,303,187,439,226,142,17,215,1
1641737,Adem Bona,Adem,1610612755,PHI,22.0,14,8,6,0.571,15.9,1.1,2.1,0.533,0.1,0.2,0.333,0.7,1.3,0.556,1.4,2.2,3.6,0.2,0.8,0.4,1.8,0.2,1.8,1.3,3.1,-1.6,13.3,0,0,11.2,264,185,232,202,294,376,410,83,407,437,237,299,253,393,112,246,194,442,285,355,8,317,251,238,376,306,291,142,17,314,1
1642876,Adou Thiero,Adou,1610612747,LAL,21.0,4,4,0,1.0,3.1,0.5,0.5,1.0,0.0,0.0,0.0,0.5,0.5,1.0,0.3,0.0,0.3,0.0,0.0,0.3,0.0,0.0,1.0,0.3,1.5,-1.8,2.6,0,0,2.3,430,300,464,1,475,447,476,1,414,448,414,333,367,1,397,473,473,456,453,382,404,412,365,425,453,310,472,142,17,472,1
1642349,Ajay Mitchell,Ajay,1610612760,OKC,23.0,21,20,1,0.952,26.5,5.5,11.9,0.462,1.1,3.3,0.329,3.2,3.7,0.87,0.6,2.9,3.5,3.7,1.7,1.6,0.3,0.5,2.2,3.4,15.2,9.4,28.9,1,0,27.2,1,1,423,26,147,98,97,236,206,186,264,72,82,102,273,178,202,79,119,31,223,170,156,66,101,19,110,95,17,116,1
201143,Al Horford,Al,1610612744,GSW,39.0,12,7,5,0.583,21.8,2.0,5.8,0.343,1.3,4.2,0.32,0.5,0.5,1.0,0.9,3.3,4.3,1.8,1.3,1.0,1.0,0.3,1.6,0.5,5.8,-4.4,18.4,0,0,17.3,300,214,280,193,215,296,245,433,166,151,275,333,367,1,185,138,158,217,161,99,41,285,290,370,295,417,223,142,17,230,1
1627936,Alex Caruso,Alex,1610612760,OKC,31.0,15,15,0,1.0,18.8,2.0,5.0,0.4,1.1,3.2,0.354,0.5,0.7,0.8,0.3,2.1,2.4,2.5,1.0,1.6,0.3,0.3,1.1,1.0,5.7,11.3,17.1,0,0,15.6,235,11,464,1,253,296,277,360,197,194,202,330,337,189,363,256,293,155,227,26,197,231,353,273,303,9,242,142,17,254,1
1642259,Alex Sarr,Alex,1610612764,WAS,20.0,16,2,14,0.125,29.7,7.8,15.1,0.515,1.1,3.3,0.346,2.4,3.8,0.639,2.4,6.2,8.6,3.3,2.1,0.8,2.0,1.3,2.1,3.3,19.1,-6.4,40.5,6,0,37.6,199,377,38,443,97,30,44,110,198,191,213,103,75,370,36,26,27,105,73,174,4,8,184,73,54,459,30,25,17,36,1
1630578,Alperen Sengun,Alperen,1610612745,HOU,23.0,17,13,4,0.765,36.1,8.1,16.5,0.493,1.1,2.8,0.396,4.9,6.8,0.73,2.9,6.2,9.1,6.9,3.3,1.1,0.8,1.3,3.4,5.8,22.3,7.9,46.2,9,0,43.4,171,27,311,64,8,24,31,164,201,224,121,35,26,290,26,24,23,15,17,83,65,6,18,18,32,30,12,10,17,17,1
1642873,Amari Williams,Amari,1610612738,BOS,23.0,4,2,2,0.5,7.1,0.3,0.5,0.5,0.0,0.0,0.0,0.3,0.5,0.5,0.5,1.3,1.8,0.3,0.0,0.3,0.5,0.3,0.8,0.5,0.8,-1.3,5.5,0,0,4.3,430,377,397,249,421,472,476,128,414,448,414,397,367,398,289,356,355,434,453,382,126,285,408,370,472,286,418,142,17,438,1
1641708,Amen Thompson,Amen,1610612745,HOU,22.0,17,13,4,0.765,36.2,6.6,14.0,0.471,0.5,2.1,0.222,3.1,3.9,0.776,2.5,4.5,6.9,5.3,2.4,1.4,0.4,1.2,2.6,2.9,16.7,10.0,36.1,3,0,33.1,171,27,311,64,7,60,61,217,324,261,378,77,73,235,32,73,48,41,54,43,166,10,83,92,79,15,53,47,17,63,1
