player,team,opponent,game_date,market,book,line,over_odds,under_odds
Devin Booker,PHX,LAC,2025-11-06,PTS,draftkings,28.5,-110.0,-116.0
John Collins,LAC,@PHX,2025-11-06,PTS,draftkings,17.5,-116.0,-110.0
Ivica Zubac,LAC,@PHX,2025-11-06,PTS,draftkings,16.5,-125.0,-102.0
Grayson Allen,PHX,LAC,2025-11-06,PTS,draftkings,14.5,-120.0,-106.0
Bradley Beal,LAC,@PHX,2025-11-06,PTS,draftkings,14.5,-117.0,-109.0
Mark Williams,PHX,LAC,2025-11-06,PTS,draftkings,13.5,-111.0,-115.0
Jalen Green,PHX,LAC,2025-11-06,PTS,draftkings,12.5,-118.0,-108.0
Bogdan Bogdanovic,LAC,@PHX,2025-11-06,PTS,draftkings,11.5,-109.0,-117.0
Derrick Jones,LAC,@PHX,2025-11-06,PTS,draftkings,11.5,-115.0,-111.0
Collin Gillespie,PHX,LAC,2025-11-06,PTS,draftkings,9.5,-108.0,-117.0
Royce O'Neale,PHX,LAC,2025-11-06,PTS,draftkings,9.5,-101.0,-126.0
Kris Dunn,LAC,@PHX,2025-11-06,PTS,draftkings,8.5,-112.0,-114.0
Ryan Dunn,PHX,LAC,2025-11-06,PTS,draftkings,8.5,-127.0,100.0
Brook Lopez,LAC,@PHX,2025-11-06,PTS,draftkings,6.5,-126.0,-102.0
Chris Paul,LAC,@PHX,2025-11-06,PTS,draftkings,6.5,-115.0,-111.0
Devin Booker,PHX,LAC,2025-11-06,PTS,draftkings,28.5,,
John Collins,LAC,@PHX,2025-11-06,PTS,draftkings,17.5,,
Ivica Zubac,LAC,@PHX,2025-11-06,PTS,draftkings,16.5,,
Grayson Allen,PHX,LAC,2025-11-06,PTS,draftkings,14.5,,
Bradley Beal,LAC,@PHX,2025-11-06,PTS,draftkings,14.5,,
Mark Williams,PHX,LAC,2025-11-06,PTS,draftkings,13.5,,
Jalen Green,PHX,LAC,2025-11-06,PTS,draftkings,12.5,,
Bogdan Bogdanovic,LAC,@PHX,2025-11-06,PTS,draftkings,11.5,,
Derrick Jones,LAC,@PHX,2025-11-06,PTS,draftkings,11.5,,
Collin Gillespie,PHX,LAC,2025-11-06,PTS,draftkings,9.5,,
Royce O'Neale,PHX,LAC,2025-11-06,PTS,draftkings,9.5,,
Kris Dunn,LAC,@PHX,2025-11-06,PTS,draftkings,8.5,,
Ryan Dunn,PHX,LAC,2025-11-06,PTS,draftkings,8.5,,
Brook Lopez,LAC,@PHX,2025-11-06,PTS,draftkings,6.5,,
Chris Paul,LAC,@PHX,2025-11-06,PTS,draftkings,6.5,,
Devin Booker,PHX,LAC,2025-11-06,PTS,draftkings,28.5,,
John Collins,LAC,@PHX,2025-11-06,PTS,draftkings,17.5,,
Ivica Zubac,LAC,@PHX,2025-11-06,PTS,draftkings,16.5,,
Grayson Allen,PHX,LAC,2025-11-06,PTS,draftkings,14.5,,
Bradley Beal,LAC,@PHX,2025-11-06,PTS,draftkings,14.5,,
Mark Williams,PHX,LAC,2025-11-06,PTS,draftkings,13.5,,
Jalen Green,PHX,LAC,2025-11-06,PTS,draftkings,12.5,,
Bogdan Bogdanovic,LAC,@PHX,2025-11-06,PTS,draftkings,11.5,,
Derrick Jones,LAC,@PHX,2025-11-06,PTS,draftkings,11.5,,
Collin Gillespie,PHX,LAC,2025-11-06,PTS,draftkings,9.5,,
Royce O'Neale,PHX,LAC,2025-11-06,PTS,draftkings,9.5,,
Kris Dunn,LAC,@PHX,2025-11-06,PTS,draftkings,8.5,,
Ryan Dunn,PHX,LAC,2025-11-06,PTS,draftkings,8.5,,
Brook Lopez,LAC,@PHX,2025-11-06,PTS,draftkings,6.5,,
Chris Paul,LAC,@PHX,2025-11-06,PTS,draftkings,6.5,,
Devin Booker,PHX,LAC,2025-11-06,PTS,fanduel,28.5,-104.0,-128.0
John Collins,LAC,@PHX,2025-11-06,PTS,fanduel,17.5,-114.0,-114.0
Ivica Zubac,LAC,@PHX,2025-11-06,PTS,fanduel,17.5,-110.0,-120.0
Grayson Allen,PHX,LAC,2025-11-06,PTS,fanduel,15.5,102.0,-136.0
Bradley Beal,LAC,@PHX,2025-11-06,PTS,fanduel,14.5,-104.0,-128.0
Mark Williams,PHX,LAC,2025-11-06,PTS,fanduel,13.5,-106.0,-125.0
Jalen Green,PHX,LAC,2025-11-06,PTS,fanduel,12.5,-110.0,-120.0
Bogdan Bogdanovic,LAC,@PHX,2025-11-06,PTS,fanduel,11.5,-112.0,-118.0
Derrick Jones,LAC,@PHX,2025-11-06,PTS,fanduel,11.5,-114.0,-118.0
Collin Gillespie,PHX,LAC,2025-11-06,PTS,fanduel,9.5,102.0,-136.0
Royce O'Neale,PHX,LAC,2025-11-06,PTS,fanduel,9.5,-102.0,-130.0
Kris Dunn,LAC,@PHX,2025-11-06,PTS,fanduel,8.5,-112.0,-118.0
Ryan Dunn,PHX,LAC,2025-11-06,PTS,fanduel,8.5,-130.0,-102.0
Brook Lopez,LAC,@PHX,2025-11-06,PTS,fanduel,6.5,-110.0,-120.0
Chris Paul,LAC,@PHX,2025-11-06,PTS,fanduel,6.5,-114.0,-114.0
Devin Booker,PHX,LAC,2025-11-06,PTS,fanduel,28.5,,
John Collins,LAC,@PHX,2025-11-06,PTS,fanduel,17.5,,
Ivica Zubac,LAC,@PHX,2025-11-06,PTS,fanduel,17.5,,
Grayson Allen,PHX,LAC,2025-11-06,PTS,fanduel,15.5,,
Bradley Beal,LAC,@PHX,2025-11-06,PTS,fanduel,14.5,,
Mark Williams,PHX,LAC,2025-11-06,PTS,fanduel,13.5,,
Jalen Green,PHX,LAC,2025-11-06,PTS,fanduel,12.5,,
Bogdan Bogdanovic,LAC,@PHX,2025-11-06,PTS,fanduel,11.5,,
Derrick Jones,LAC,@PHX,2025-11-06,PTS,fanduel,11.5,,
Collin Gillespie,PHX,LAC,2025-11-06,PTS,fanduel,9.5,,
Royce O'Neale,PHX,LAC,2025-11-06,PTS,fanduel,9.5,,
Kris Dunn,LAC,@PHX,2025-11-06,PTS,fanduel,8.5,,
Ryan Dunn,PHX,LAC,2025-11-06,PTS,fanduel,8.5,,
Brook Lopez,LAC,@PHX,2025-11-06,PTS,fanduel,6.5,,
Chris Paul,LAC,@PHX,2025-11-06,PTS,fanduel,6.5,,
Devin Booker,PHX,LAC,2025-11-06,PTS,fanduel,28.5,,
John Collins,LAC,@PHX,2025-11-06,PTS,fanduel,17.5,,
Ivica Zubac,LAC,@PHX,2025-11-06,PTS,fanduel,17.5,,
Grayson Allen,PHX,LAC,2025-11-06,PTS,fanduel,15.5,,
Bradley Beal,LAC,@PHX,2025-11-06,PTS,fanduel,14.5,,
Mark Williams,PHX,LAC,2025-11-06,PTS,fanduel,13.5,,
Jalen Green,PHX,LAC,2025-11-06,PTS,fanduel,12.5,,
Bogdan Bogdanovic,LAC,@PHX,2025-11-06,PTS,fanduel,11.5,,
Derrick Jones,LAC,@PHX,2025-11-06,PTS,fanduel,11.5,,
Collin Gillespie,PHX,LAC,2025-11-06,PTS,fanduel,9.5,,
Royce O'Neale,PHX,LAC,2025-11-06,PTS,fanduel,9.5,,
Kris Dunn,LAC,@PHX,2025-11-06,PTS,fanduel,8.5,,
Ryan Dunn,PHX,LAC,2025-11-06,PTS,fanduel,8.5,,
Brook Lopez,LAC,@PHX,2025-11-06,PTS,fanduel,6.5,,
Chris Paul,LAC,@PHX,2025-11-06,PTS,fanduel,6.5,,
Devin Booker,PHX,LAC,2025-11-06,PTS,caesars,28.5,-112.0,-121.0
John Collins,LAC,@PHX,2025-11-06,PTS,caesars,17.5,-120.0,-114.0
Ivica Zubac,LAC,@PHX,2025-11-06,PTS,caesars,17.5,-112.0,-121.0
Grayson Allen,PHX,LAC,2025-11-06,PTS,caesars,14.5,-130.0,-104.0
Bradley Beal,LAC,@PHX,2025-11-06,PTS,caesars,14.5,-114.0,-118.0
Mark Williams,PHX,LAC,2025-11-06,PTS,caesars,13.5,-110.0,-122.0
Jalen Green,PHX,LAC,2025-11-06,PTS,caesars,12.5,-114.0,-118.0
Bogdan Bogdanovic,LAC,@PHX,2025-11-06,PTS,caesars,11.5,-114.0,-118.0
Derrick Jones,LAC,@PHX,2025-11-06,PTS,caesars,11.5,-118.0,-114.0
Collin Gillespie,PHX,LAC,2025-11-06,PTS,caesars,9.5,-107.0,-125.0
Royce O'Neale,PHX,LAC,2025-11-06,PTS,caesars,9.5,-106.0,-127.0
Kris Dunn,LAC,@PHX,2025-11-06,PTS,caesars,8.5,-115.0,-117.0
Ryan Dunn,PHX,LAC,2025-11-06,PTS,caesars,8.5,-134.0,-102.0
Brook Lopez,LAC,@PHX,2025-11-06,PTS,caesars,6.5,-114.0,-118.0
Chris Paul,LAC,@PHX,2025-11-06,PTS,caesars,6.5,-117.0,-115.0
Devin Booker,PHX,LAC,2025-11-06,PTS,caesars,28.5,,
John Collins,LAC,@PHX,2025-11-06,PTS,caesars,17.5,,
Ivica Zubac,LAC,@PHX,2025-11-06,PTS,caesars,17.5,,
Grayson Allen,PHX,LAC,2025-11-06,PTS,caesars,14.5,,
Bradley Beal,LAC,@PHX,2025-11-06,PTS,caesars,14.5,,
Mark Williams,PHX,LAC,2025-11-06,PTS,caesars,13.5,,
Jalen Green,PHX,LAC,2025-11-06,PTS,caesars,12.5,,
Bogdan Bogdanovic,LAC,@PHX,2025-11-06,PTS,caesars,11.5,,
Derrick Jones,LAC,@PHX,2025-11-06,PTS,caesars,11.5,,
Collin Gillespie,PHX,LAC,2025-11-06,PTS,caesars,9.5,,
Royce O'Neale,PHX,LAC,2025-11-06,PTS,caesars,9.5,,
Kris Dunn,LAC,@PHX,2025-11-06,PTS,caesars,8.5,,
Ryan Dunn,PHX,LAC,2025-11-06,PTS,caesars,8.5,,
Brook Lopez,LAC,@PHX,2025-11-06,PTS,caesars,6.5,,
Chris Paul,LAC,@PHX,2025-11-06,PTS,caesars,6.5,,
