id,name,l3,l5,l10,all,season_id,stats_id,position_id,stat_type,position
1,Atlanta Hawks,27.00,24.67,21.38,20.24,25,4,1,PTS,G
2,Boston Celtics,23.29,20.82,18.78,19.08,25,4,1,PTS,G
3,Brooklyn Nets,16.29,15.36,16.61,17.74,25,4,1,PTS,G
4,Charlotte Hornets,24.33,23.45,20.40,19.41,25,4,1,PTS,G
5,Chicago Bulls,15.33,16.50,19.23,18.47,25,4,1,PTS,G
6,Cleveland Cavaliers,23.25,24.00,20.42,17.97,25,4,1,PTS,G
7,Dallas Mavericks,21.29,21.25,22.28,19.39,25,4,1,PTS,G
8,Denver Nuggets,20.80,21.00,19.25,19.28,25,4,1,PTS,G
9,Detroit Pistons,19.25,17.58,17.17,18.00,25,4,1,PTS,G
10,Golden State Warriors,17.67,17.75,18.05,18.88,25,4,1,PTS,G
11,Houston Rockets,18.17,18.67,17.28,16.82,25,4,1,PTS,G
12,Indiana Pacers,14.25,16.27,18.44,18.55,25,4,1,PTS,G
13,LA Clippers,37.00,29.75,23.07,20.55,25,4,1,PTS,G
14,Los Angeles Lakers,20.75,22.29,20.83,18.19,25,4,1,PTS,G
15,Memphis Grizzlies,18.50,20.17,20.92,20.86,25,4,1,PTS,G
16,Miami Heat,19.17,19.90,18.58,19.42,25,4,1,PTS,G
17,Milwaukee Bucks,19.33,20.00,22.18,20.53,25,4,1,PTS,G
18,Minnesota Timberwolves,18.00,16.23,17.00,19.00,25,4,1,PTS,G
19,New Orleans Pelicans,21.75,20.44,18.61,19.56,25,4,1,PTS,G
20,New York Knicks,16.67,19.00,17.82,18.55,25,4,1,PTS,G
21,Oklahoma City Thunder,21.20,21.00,17.25,16.07,25,4,1,PTS,G
22,Orlando Magic,20.60,21.56,21.44,20.35,25,4,1,PTS,G
23,Philadelphia 76ers,20.60,16.90,17.10,18.53,25,4,1,PTS,G
24,Phoenix Suns,19.00,19.40,19.80,19.42,25,4,1,PTS,G
25,Portland Trail Blazers,19.29,23.00,20.31,20.82,25,4,1,PTS,G
26,Sacramento Kings,21.00,23.86,22.93,21.05,25,4,1,PTS,G
27,San Antonio Spurs,25.50,21.09,21.45,20.82,25,4,1,PTS,G
28,Toronto Raptors,15.80,13.78,17.36,16.67,25,4,1,PTS,G
29,Utah Jazz,19.00,22.63,22.00,21.45,25,4,1,PTS,G
30,Washington Wizards,12.33,13.44,16.18,18.07,25,4,1,PTS,G
1,Atlanta Hawks,13.00,15.88,19.15,18.76,25,4,2,PTS,F
2,Boston Celtics,16.00,22.67,21.25,18.22,25,4,2,PTS,F
3,Brooklyn Nets,26.50,22.00,22.77,21.27,25,4,2,PTS,F
4,Charlotte Hornets,19.40,20.83,21.13,21.14,25,4,2,PTS,F
5,Chicago Bulls,21.63,20.40,22.00,21.24,25,4,2,PTS,F
6,Cleveland Cavaliers,19.00,18.50,18.83,20.35,25,4,2,PTS,F
7,Dallas Mavericks,15.17,15.82,16.39,17.93,25,4,2,PTS,F
8,Denver Nuggets,16.67,17.00,16.94,16.74,25,4,2,PTS,F
9,Detroit Pistons,24.00,22.57,20.36,20.34,25,4,2,PTS,F
10,Golden State Warriors,17.67,17.58,17.00,17.58,25,4,2,PTS,F
11,Houston Rockets,14.71,14.60,17.67,17.83,25,4,2,PTS,F
12,Indiana Pacers,19.33,18.20,20.08,19.68,25,4,2,PTS,F
