stat,feature,importance,importance_norm
AST,AST_roll5,0.7878047227859497,0.37457314523952256
AST,AST_roll10,0.29152023792266846,0.13860751181271713
AST,MIN_roll10,0.10240431874990463,0.04868961387362033
AST,ORtg_g_roll5,0.08909790217876434,0.042362885735594734
AST,MIN_roll5,0.07880240678787231,0.03746774360350924
AST,USG%,0.06742380559444427,0.032057623158462646
AST,TS%,0.06496144086122513,0.030886856246089903
AST,REB_roll10,0.06461433321237564,0.030721818896089687
AST,BPM,0.060499630868434906,0.028765424177809883
AST,REB_roll5,0.05500807240605354,0.026154383311938104
AST,PER,0.044215358793735504,0.021022831587877436
AST,PTS_roll10,0.043345857411623,0.020609414584820848
AST,VORP,0.04331829771399498,0.020596310928135634
AST,Pace_g_roll5,0.04064454138278961,0.019325034824278362
AST,WS/48,0.04021328687667847,0.019119988634428774
AST,usage_share_roll5,0.03587188199162483,0.01705580491539488
AST,days_rest,0.035508349537849426,0.016882958154428848
AST,PTS_roll5,0.035505589097738266,0.01688164566326857
AST,DRtg_g_roll5,0.033879365772008896,0.01610843427171179
AST,HOME,0.03180115669965744,0.015120319722279845
AST,TS_game_roll10,0.03153884410858154,0.014995599408433842
AST,TS_game_roll5,0.025227230042219162,0.011994651249586966
PTS,USG%,8.621968269348145,0.5307657851655716
PTS,ORtg_g_roll5,0.9082361459732056,0.05591074521197083
PTS,TS%,0.8474857807159424,0.05217097091594406
PTS,PER,0.7510301470756531,0.04623319098873941
PTS,PTS_roll5,0.6627547740936279,0.040798985458413255
PTS,BPM,0.46098560094833374,0.028378135571109412
PTS,Pace_g_roll5,0.3438624441623688,0.021168069107100843
PTS,usage_share_roll5,0.3235107660293579,0.019915225894709718
PTS,PTS_roll10,0.28817009925842285,0.01773966502960712
PTS,WS/48,0.268020898103714,0.01649928623937682
PTS,days_rest,0.2522532045841217,0.01552863174730117
PTS,AST_roll10,0.251249760389328,0.015466860023109963
PTS,VORP,0.24899335205554962,0.015327956201671687
PTS,AST_roll5,0.24106132984161377,0.014839663289101189
PTS,REB_roll10,0.2371484637260437,0.0145987884225743
PTS,REB_roll5,0.2336181402206421,0.014381462764592654
PTS,MIN_roll5,0.23344679176807404,0.014370914605155846
PTS,DRtg_g_roll5,0.23320871591567993,0.014356258726964534
PTS,TS_game_roll10,0.2330445945262909,0.014346155463373178
PTS,MIN_roll10,0.22454045712947845,0.013822643311441271
PTS,TS_game_roll5,0.20206983387470245,0.012439358471785669
PTS,HOME,0.17773392796516418,0.010941247390385447
REB,REB_roll10,0.8171948790550232,0.18820562444484085
REB,REB_roll5,0.7859140038490295,0.18100142284958246
REB,PER,0.33697450160980225,0.0776075549699959
REB,MIN_roll10,0.31796038150787354,0.07322847179317664
REB,MIN_roll5,0.28442561626434326,0.06550518375621771
REB,WS/48,0.21533773839473724,0.04959376834077358
REB,usage_share_roll5,0.21404717862606049,0.04929654351304574
REB,BPM,0.14924964308738708,0.03437322356683538
REB,AST_roll5,0.13725943863391876,0.031611796673172265
REB,USG%,0.13063785433769226,0.030086800079059305
REB,AST_roll10,0.11850733309984207,0.0272930572608823
REB,TS%,0.11759234219789505,0.027082328536956104
REB,PTS_roll10,0.09474485367536545,0.02182039413845446
REB,VORP,0.09398896247148514,0.021646307173784338
REB,PTS_roll5,0.07827714830636978,0.01802776786095082
REB,Pace_g_roll5,0.07566981762647629,0.017427281598346004
REB,ORtg_g_roll5,0.069931261241436,0.016105652430640813
REB,days_rest,0.06990478932857513,0.016099555766285804
REB,DRtg_g_roll5,0.06726112961769104,0.015490702676944423
REB,TS_game_roll10,0.06173619627952576,0.014218272372280823
REB,TS_game_roll5,0.053522612899541855,0.012326627394344597
REB,HOME,0.05189450457692146,0.011951662803429703
