book,name,team,opponent,game_date,prop_type,line,pick_side,pick_edge_bp,pick_prob,odds_over,odds_under,mkt_p_over,mkt_p_under,model_p_over,pred_mean,resid_sd_used,kelly_frac
draftkings,Devin Booker,PHX,LAC,2025-11-06,ast,7.5,Under,52.7759,0.991,-133.0,103.0,0.5368,0.4632,0.009,2.0755,2.2935,0.02
hardrock,Devin Booker,PHX,LAC,2025-11-06,ptsast,35.5,Under,50.2456,0.9923,-120.0,-110.0,0.5101,0.4899,0.0077,11.0496,10.0849,0.02
hardrock,Mark Williams,PHX,LAC,2025-11-06,reb,8.5,Under,49.7373,0.9458,-150.0,105.0,0.5516,0.4484,0.0542,3.47,3.1331,0.02
draftkings,Devin Booker,PHX,LAC,2025-11-06,pra,39.5,Under,49.5986,0.9816,-121.0,-107.0,0.5144,0.4856,0.0184,14.5196,11.9626,0.02
draftkings,Devin Booker,PHX,LAC,2025-11-06,ptsast,36.5,Under,48.5989,0.9942,-110.0,-118.0,0.4918,0.5082,0.0058,11.0496,10.0849,0.02
hardrock,Devin Booker,PHX,LAC,2025-11-06,pts,28.5,Under,48.1565,0.9868,-110.0,-115.0,0.4948,0.5052,0.0132,8.9741,8.7949,0.02
draftkings,Devin Booker,PHX,LAC,2025-11-06,ptsreb,31.5,Under,47.723,0.9629,-121.0,-107.0,0.5144,0.4856,0.0371,12.4441,10.6767,0.02
draftkings,Ivica Zubac,LAC,PHX,2025-11-06,reb,11.5,Under,47.2279,0.9958,-103.0,-126.0,0.4765,0.5235,0.0042,3.2382,3.1331,0.02
hardrock,Ivica Zubac,LAC,PHX,2025-11-06,ptsreb,28.5,Under,46.0341,0.9413,-130.0,-110.0,0.519,0.481,0.0587,11.78,10.6767,0.02
draftkings,Mark Williams,PHX,LAC,2025-11-06,reb,9.5,Under,45.8487,0.9729,-107.0,-121.0,0.4856,0.5144,0.0271,3.47,3.1331,0.02
hardrock,Devin Booker,PHX,LAC,2025-11-06,ptsreb,32.5,Under,45.0831,0.9698,-110.0,-130.0,0.481,0.519,0.0302,12.4441,10.6767,0.02
