name,playerID,firstName,lastName,team,opponent,gameID,asof_date,game_date,book,prop_type,line,odds_over,odds_under,game_id,PTS_roll5_mean,PTS_roll5_std,REB_roll5_mean,REB_roll5_std,AST_roll5_mean,AST_roll5_std,STL_roll5_mean,STL_roll5_std,BLK_roll5_mean,BLK_roll5_std,TOV_roll5_mean,TOV_roll5_std,MIN_roll5_mean,MIN_roll5_std,FGM_roll5_mean,FGM_roll5_std,FGA_roll5_mean,FGA_roll5_std,FG_PCT_roll5_mean,FG_PCT_roll5_std,FG3M_roll5_mean,FG3M_roll5_std,FG3A_roll5_mean,FG3A_roll5_std,FTM_roll5_mean,FTM_roll5_std,FTA_roll5_mean,FTA_roll5_std,FT_PCT_roll5_mean,FT_PCT_roll5_std,PLUS_MINUS_roll5_mean,PLUS_MINUS_roll5_std,PTS_roll10_mean,PTS_roll10_std,REB_roll10_mean,REB_roll10_std,AST_roll10_mean,AST_roll10_std,STL_roll10_mean,STL_roll10_std,BLK_roll10_mean,BLK_roll10_std,TOV_roll10_mean,TOV_roll10_std,MIN_roll10_mean,MIN_roll10_std,FGM_roll10_mean,FGM_roll10_std,FGA_roll10_mean,FGA_roll10_std,FG_PCT_roll10_mean,FG_PCT_roll10_std,FG3M_roll10_mean,FG3M_roll10_std,FG3A_roll10_mean,FG3A_roll10_std,FTM_roll10_mean,FTM_roll10_std,FTA_roll10_mean,FTA_roll10_std,FT_PCT_roll10_mean,FT_PCT_roll10_std,PLUS_MINUS_roll10_mean,PLUS_MINUS_roll10_std,PTS_trend10,REB_trend10,AST_trend10,STL_trend10,BLK_trend10,TOV_trend10,MIN_trend10,FGM_trend10,FGA_trend10,FG_PCT_trend10,FG3M_trend10,FG3A_trend10,FTM_trend10,FTA_trend10,FT_PCT_trend10,PLUS_MINUS_trend10,PTS,REB,AST,FG3M,TOV,actual
Devin Booker,3711,Devin,Booker,PHX,LAC,2914974,2025-11-06,2025-11-06,draftkings,pts,28.5,-110.0,-116.0,22500182.0,33.6,3.84707681233427,4.0,1.5811388300841898,7.8,4.207136793592526,0.6,0.5477225575051662,0.6,0.5477225575051661,3.2,1.7888543819998317,38.6,3.507135583350039,11.4,1.5165750888103096,22.8,4.549725266430932,0.5164,0.11367409555391238,3.6,2.073644135332772,7.8,4.207136793592526,7.2,2.588435821108957,8.2,2.5884358211089573,0.8778,0.1300546039169702,10.4,12.25969004502153,31.0,6.117889458675388,3.875,1.3562026818605375,7.0,3.5856858280031814,0.5,0.5345224838248488,0.375,0.5175491695067657,4.25,2.5495097567963927,36.75,4.527692569068709,10.25,2.4928469095164503,19.875,5.841660722773962,0.5291250000000001,0.09452654578023496,2.75,1.9820624179302297,6.375,3.77728171346236,7.75,2.2519832529192065,9.0,3.1622776601683795,0.882,0.1423366231358405,2.25,15.836215276565113,1.3333333333333328,-0.13095238095238101,0.42857142857142805,0.07142857142857144,0.03571428571428571,-0.23809523809523808,0.6428571428571409,0.6428571428571425,0.964285714285714,0.008678571428571426,0.1904761904761904,0.17857142857142813,-0.1428571428571435,-0.547619047619048,0.02285714285714287,4.690476190476192,24.0,6.0,7.0,3.0,3.0,24.0
John Collins,4159,John,Collins,LAC,PHX,2914974,2025-11-06,2025-11-06,draftkings,pts,17.5,-116.0,-110.0,22500182.0,12.8,4.764451699828638,4.6,1.8165902124584947,0.6,0.5477225575051661,0.8,0.8366600265340756,0.2,0.4472135954999581,2.6,1.816590212458495,23.6,2.792848008753788,5.0,1.8708286933869707,8.6,1.9493588689617931,0.5776,0.20374935582720252,1.0,0.7071067811865475,2.6,1.5165750888103102,1.8,2.3874672772626644,2.2,2.16794833886788,0.7,0.44721359549995787,-6.8,11.734564329364767,12.571428571428571,4.07664661444276,5.142857142857143,1.7728105208558365,0.8571428571428571,0.6900655593423543,1.0,0.816496580927726,0.42857142857142855,0.7867957924694432,2.4285714285714284,1.511857892036909,24.285714285714285,2.8115408417381924,4.857142857142857,1.772810520855837,8.571428571428571,2.5727509827124,0.5697142857142857,0.16938291362640867,0.8571428571428571,0.6900655593423541,2.2857142857142856,1.3801311186847083,2.0,2.160246899469287,2.5714285714285716,2.0701966780270626,0.6857142857142857,0.37606990231680526,-1.5714285714285714,14.683972474063264,0.39285714285714274,-0.6428571428571428,-0.14285714285714288,-0.21428571428571427,-0.21428571428571433,0.14285714285714282,-0.49999999999999906,1.6179500518269156e-16,0.07142857142857122,-0.006785714285714285,0.14285714285714282,0.3571428571428572,0.25000000000000017,0.14285714285714282,-0.003571428571428565,-4.464285714285714,13.0,4.0,1.0,2.0,4.0,13.0
Ivica Zubac,3888,Ivica,Zubac,LAC,PHX,2914974,2025-11-06,2025-11-06,draftkings,pts,16.5,-125.0,-102.0,22500182.0,13.0,5.431390245600108,11.2,4.32434966208793,2.0,1.0,0.6,0.8944271909999159,1.4,1.140175425099138,1.8,1.3038404810405297,30.4,5.029910535983716,5.6,2.4083189157584592,10.0,2.9154759474226504,0.5518,0.1400703394727092,0.0,0.0,0.0,0.0,1.8,1.6431676725154984,2.2,1.4832396974191326,0.75,0.2886751345948128,-0.6,9.316651759081692,13.142857142857142,5.459809869356607,9.714285714285714,4.386125310350268,2.4285714285714284,1.1338934190276817,0.42857142857142855,0.7867957924694432,1.1428571428571428,1.0690449676496976,2.0,1.1547005383792515,29.142857142857142,4.6700667885506535,5.714285714285714,2.6276913640612176,9.714285714285714,3.3523268393901033,0.5787142857142857,0.1260868936959935,0.0,0.0,0.0,0.0,1.7142857142857142,1.3801311186847085,2.142857142857143,1.3451854182690985,0.7778333333333333,0.2508947322417644,-1.2857142857142858,12.9320568835006,-1.4642857142857144,1.0357142857142856,-0.25,0.2857142857142857,5.4029454633635355e-18,-0.03571428571428569,0.4285714285714296,-0.7142857142857146,-0.5000000000000008,-0.04257142857142856,0.0,0.0,-0.035714285714285775,0.07142857142857145,-0.08574285714285719,1.2857142857142863,23.0,11.0,2.0,0.0,2.0,23.0
Grayson Allen,4454,Grayson,Allen,PHX,LAC,2914974,2025-11-06,2025-11-06,draftkings,pts,14.5,-120.0,-106.0,22500182.0,16.8,3.7013511046643495,3.8,1.9235384061671346,4.6,1.140175425099138,1.4,1.51657508881031,0.2,0.44721359549995804,2.4,1.6733200530681513,35.8,3.7682887362833553,5.6,1.1401754250991383,14.4,3.2863353450309964,0.3926,0.0476529117683274,3.4,1.341640786499874,9.2,2.489979919597747,2.2,2.280350850198276,2.8,2.949576240750525,0.7936666666666667,0.18022855859528286,0.8,16.146206984923733,16.375,3.3354160160315836,3.625,1.8468119248354136,5.0,1.1952286093343938,1.25,1.164964745021435,0.25,0.46291004988627577,2.0,1.851640199545103,34.625,3.777281713462361,5.5,1.0690449676496976,13.5,2.7774602993176543,0.41200000000000003,0.06834157906115007,3.5,1.1952286093343938,9.0,2.0701966780270626,1.875,1.9594095320493148,2.25,2.49284690951645,0.8762000000000001,0.17033261578452905,-2.0,13.288018233409698,-0.0833333333333335,0.15476190476190485,-0.2619047619047618,0.1666666666666666,-0.023809523809523846,-0.07142857142857124,0.10714285714285499,0.047619047619047505,0.3095238095238082,-0.006238095238095243,0.07142857142857109,0.047619047619047485,-0.25000000000000006,-0.23809523809523808,-0.06660000000000009,0.9523809523809532,18.0,3.0,4.0,4.0,2.0,18.0
Bradley Beal,3303,Bradley,Beal,LAC,PHX,2914974,2025-11-06,2025-11-06,draftkings,pts,14.5,-117.0,-109.0,22500182.0,8.0,3.1622776601683795,1.0,0.0,1.5,1.0,0.5,0.5773502691896257,0.0,0.0,1.5,1.0,20.25,0.5000000000000002,3.0,1.4142135623730951,6.25,2.0615528128088303,0.475,0.11365151414154881,1.0,0.816496580927726,2.5,1.9148542155126762,1.0,1.1547005383792515,1.5,1.0,0.6666666666666666,0.5773502691896258,-1.0,6.0553007081949835,8.0,3.1622776601683795,1.0,0.0,1.5,1.0,0.5,0.5773502691896257,0.0,0.0,1.5,1.0,20.25,0.5000000000000002,3.0,1.4142135623730951,6.25,2.0615528128088303,0.475,0.11365151414154881,1.0,0.816496580927726,2.5,1.9148542155126762,1.0,1.1547005383792515,1.5,1.0,0.6666666666666666,0.5773502691896258,-1.0,6.0553007081949835,2.399999999999999,-8.214889951798643e-17,0.6000000000000003,-7.074640819510196e-17,0.0,0.5999999999999999,0.10000000000000026,0.9999999999999999,1.2999999999999998,0.05499999999999999,0.39999999999999986,0.19999999999999948,2.493335465025045e-16,0.6000000000000003,-0.4999999999999997,2.4000000000000004,5.0,1.0,1.0,1.0,2.0,5.0
Mark Williams,5647,Mark,Williams,PHX,LAC,2914974,2025-11-06,2025-11-06,draftkings,pts,13.5,-111.0,-115.0,22500182.0,15.4,7.503332592921628,10.6,3.7815340802378077,1.4,1.6733200530681511,1.6,1.51657508881031,1.0,1.0,0.8,1.0954451150103321,27.2,2.489979919597745,6.0,3.0,9.8,4.024922359499621,0.5986,0.10528437680871744,0.0,0.0,0.0,0.0,3.4,2.3021728866442674,4.8,2.588435821108957,0.7156,0.2783285827937907,9.4,9.343446901438462,12.142857142857142,8.355209381548963,10.0,3.559026084010437,1.0,1.5275252316519468,1.1428571428571428,1.4638501094227998,1.0,1.0,0.7142857142857143,0.9511897312113419,24.857142857142858,5.3363086938623105,4.857142857142857,3.184785258515422,8.428571428571429,4.035556254807296,0.5418571428571429,0.17353426997899538,0.0,0.0,0.0,0.0,2.4285714285714284,2.5071326821120348,3.4285714285714284,3.154739442867026,0.7156,0.2783285827937907,6.285714285714286,13.313079855469029,0.8571428571428573,0.4642857142857136,0.5714285714285715,0.10714285714285719,-5.105355005128403e-17,0.10714285714285714,0.8928571428571449,0.25,0.46428571428571414,0.012750000000000022,0.0,0.0,0.3571428571428571,0.6428571428571429,-0.07060000000000015,1.1428571428571423,13.0,10.0,0.0,0.0,0.0,13.0
Jalen Green,5230,Jalen,Green,PHX,LAC,2914974,2025-11-06,2025-11-06,draftkings,pts,12.5,-118.0,-108.0,22500182.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,3.0,3.0,6.0,2.0,29.0
Bogdan Bogdanovic,3593,Bogdan,Bogdanovic,LAC,PHX,2914974,2025-11-06,2025-11-06,draftkings,pts,11.5,-109.0,-117.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derrick Jones,4083,Derrick,Jones,LAC,PHX,2914974,2025-11-06,2025-11-06,draftkings,pts,11.5,-115.0,-111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collin Gillespie,5732,Collin,Gillespie,PHX,LAC,2914974,2025-11-06,2025-11-06,draftkings,pts,9.5,-108.0,-117.0,22500182.0,12.8,2.9495762407505253,3.8,1.6431676725154984,6.4,3.781534080237808,1.6,0.894427190999916,0.8,0.4472135954999579,1.6,1.140175425099138,26.6,5.029910535983718,4.4,0.8944271909999159,9.8,2.04939015319192,0.45199999999999996,0.0658217289350561,3.2,0.8366600265340756,7.4,2.8809720581775866,0.8,0.8366600265340756,1.0,1.0,0.8333333333333334,0.28867513459481287,4.8,12.497999839974394,11.25,3.693623849670827,3.5,1.6035674514745464,5.25,3.453776401067595,1.25,0.8864052604279182,0.75,0.4629100498862757,1.5,1.1952286093343938,24.625,5.9985117201805025,4.0,1.1952286093343936,9.25,2.7645717829090897,0.43875,0.06929801069088697,2.75,1.0350983390135313,6.625,2.7222627143085005,0.5,0.7559289460184544,0.625,0.9161253813129042,0.8333333333333334,0.28867513459481287,-0.125,14.146554350795107,0.4047619047619038,0.1428571428571427,0.023809523809523742,0.02380952380952373,-0.047619047619047596,0.04761904761904741,0.011904761904759746,0.07142857142857112,-0.09523809523809544,0.009809523809523798,0.1428571428571427,-0.011904761904761847,0.11904761904761904,0.13095238095238093,-1.4369923046397228e-16,0.27380952380952517,1.0,5.0,7.0,0.0,2.0,1.0
