book,name,team,opponent,game_date,prop_type,line,odds_over,odds_under,mkt_p_over,mkt_p_under,model_p_over,pick_side,pick_edge_bp,pick_prob,pick_odds,bet_flag,kelly_frac,pred_mean,resid_sd_used
draftkings,Bogdan Bogdanovic,LAC,PHX,2025-11-06,3pm,1.5,-155.0,120.0,0.5721476510067114,0.4278523489932886,0.3293252541166039,Under,24.282239689010755,0.6706747458833962,120.0,True,0.02,0.8959720458323901,1.3672685805138958
fanduel,Bogdan Bogdanovic,LAC,PHX,2025-11-06,3pm,1.5,-158.0,118.0,0.571741584224155,0.4282584157758449,0.3293252541166039,Under,24.241633010755127,0.6706747458833962,118.0,True,0.02,0.8959720458323901,1.3672685805138958
caesars,Bogdan Bogdanovic,LAC,PHX,2025-11-06,3pm,1.5,-159.0,115.0,0.5689439960056586,0.43105600399434135,0.3293252541166039,Under,23.96187418890548,0.6706747458833962,115.0,True,0.02,0.8959720458323901,1.3672685805138958
draftkings,Bradley Beal,LAC,PHX,2025-11-06,3pm,1.5,-143.0,111.0,0.5539074403833091,0.4460925596166908,0.3293252541166039,Under,22.458218626670533,0.6706747458833962,111.0,True,0.02,0.8959720458323901,1.3672685805138958
fanduel,Bradley Beal,LAC,PHX,2025-11-06,3pm,1.5,-152.0,114.0,0.563470066518847,0.43652993348115304,0.3293252541166039,Under,23.414481240224312,0.6706747458833962,114.0,True,0.02,0.8959720458323901,1.3672685805138958
caesars,Bradley Beal,LAC,PHX,2025-11-06,3pm,1.5,-143.0,105.0,0.5467686281824116,0.4532313718175883,0.3293252541166039,Under,21.744337406580783,0.6706747458833962,105.0,True,0.02,0.8959720458323901,1.3672685805138958
hardrock,Bradley Beal,LAC,PHX,2025-11-06,3pm,1.5,-130.0,-110.0,0.5190114068441064,0.4809885931558936,0.3293252541166039,Under,18.968615272750256,0.6706747458833962,-110.0,True,0.02,0.8959720458323901,1.3672685805138958
draftkings,Brook Lopez,LAC,PHX,2025-11-06,3pm,1.5,120.0,-156.0,0.42723631508678234,0.5727636849132176,0.3293252541166039,Under,9.791106097017854,0.6706747458833962,-156.0,True,0.02,0.8959720458323901,1.3672685805138958
fanduel,Brook Lopez,LAC,PHX,2025-11-06,3pm,1.5,124.0,-166.0,0.4170324846356453,0.5829675153643546,0.3293252541166039,Under,8.77072305190415,0.6706747458833962,-166.0,True,0.02,0.8959720458323901,1.3672685805138958
caesars,Brook Lopez,LAC,PHX,2025-11-06,3pm,1.5,120.0,-162.0,0.42367399741267786,0.5763260025873221,0.3293252541166039,Under,9.434874329607402,0.6706747458833962,-162.0,True,0.02,0.8959720458323901,1.3672685805138958
hardrock,Brook Lopez,LAC,PHX,2025-11-06,3pm,1.5,105.0,-150.0,0.44843049327354256,0.5515695067264573,0.3293252541166039,Under,11.910523915693883,0.6706747458833962,-150.0,True,0.02,0.8959720458323901,1.3672685805138958
draftkings,Chris Paul,LAC,PHX,2025-11-06,3pm,1.5,111.0,-144.0,0.4453855140186916,0.5546144859813084,0.3293252541166039,Under,11.60602599020878,0.6706747458833962,-144.0,True,0.02,0.8959720458323901,1.3672685805138958
fanduel,Chris Paul,LAC,PHX,2025-11-06,3pm,1.5,116.0,-154.0,0.4329742261011864,0.5670257738988136,0.3293252541166039,Under,10.364897198458255,0.6706747458833962,-154.0,True,0.02,0.8959720458323901,1.3672685805138958
caesars,Chris Paul,LAC,PHX,2025-11-06,3pm,1.5,110.0,-152.0,0.4411764705882353,0.5588235294117647,0.3293252541166039,Under,11.185121647163143,0.6706747458833962,-152.0,True,0.02,0.8959720458323901,1.3672685805138958
draftkings,Collin Gillespie,PHX,LAC,2025-11-06,3pm,2.5,136.0,-178.0,0.3982351592940637,0.6017648407059363,0.18482046478087577,Under,21.341469451318794,0.8151795352191242,-178.0,True,0.02,1.273360241788228,1.3672685805138958
fanduel,Collin Gillespie,PHX,LAC,2025-11-06,3pm,2.5,154.0,-210.0,0.3675598766895898,0.6324401233104102,0.18482046478087577,Under,18.2739411908714,0.8151795352191242,-210.0,True,0.02,1.273360241788228,1.3672685805138958
caesars,Collin Gillespie,PHX,LAC,2025-11-06,3pm,2.5,135.0,-190.0,0.3937542430414121,0.606245756958588,0.18482046478087577,Under,20.893377826053626,0.8151795352191242,-190.0,True,0.02,1.273360241788228,1.3672685805138958
hardrock,Collin Gillespie,PHX,LAC,2025-11-06,3pm,2.5,130.0,-185.0,0.40112596762843067,0.5988740323715693,0.18482046478087577,Under,21.63055028475549,0.8151795352191242,-185.0,True,0.02,1.273360241788228,1.3672685805138958
draftkings,Derrick Jones,LAC,PHX,2025-11-06,3pm,1.5,-195.0,149.0,0.6220613669848183,0.37793863301518155,0.3293252541166039,Under,29.27361128682146,0.6706747458833962,149.0,True,0.02,0.8959720458323901,1.3672685805138958
fanduel,Derrick Jones,LAC,PHX,2025-11-06,3pm,1.5,-205.0,152.0,0.6287731256085686,0.3712268743914313,0.3293252541166039,Under,29.944787149196483,0.6706747458833962,152.0,True,0.02,0.8959720458323901,1.3672685805138958
caesars,Derrick Jones,LAC,PHX,2025-11-06,3pm,1.5,-197.0,140.0,0.6141855027279812,0.3858144972720187,0.3293252541166039,Under,28.486024861137743,0.6706747458833962,140.0,True,0.02,0.8959720458323901,1.3672685805138958
hardrock,Derrick Jones,LAC,PHX,2025-11-06,3pm,1.5,-180.0,125.0,0.5912408759124087,0.4087591240875912,0.3293252541166039,Under,26.191562179580497,0.6706747458833962,125.0,True,0.02,0.8959720458323901,1.3672685805138958
draftkings,Devin Booker,PHX,LAC,2025-11-06,3pm,2.5,126.0,-164.0,0.41598386486827177,0.5840161351317281,0.18482046478087577,Under,23.116340008739613,0.8151795352191242,-164.0,True,0.02,1.273360241788228,1.3672685805138958
fanduel,Devin Booker,PHX,LAC,2025-11-06,3pm,2.5,130.0,-174.0,0.4064075941857016,0.5935924058142985,0.18482046478087577,Under,22.158712940482573,0.8151795352191242,-174.0,True,0.02,1.273360241788228,1.3672685805138958
caesars,Devin Booker,PHX,LAC,2025-11-06,3pm,2.5,125.0,-170.0,0.41379310344827586,0.5862068965517242,0.18482046478087577,Under,22.897263866740005,0.8151795352191242,-170.0,True,0.02,1.273360241788228,1.3672685805138958
