player,team,opponent,game_date,market,book,line,over_odds,under_odds
Shai Gilgeous-Alexander,OKC,@LAC,2025-11-04,PTS,mgm,31.5,-120.0,-110.0
Giannis Antetokounmpo,MIL,@TOR,2025-11-04,PTS,mgm,31.5,-105.0,-125.0
Devin Booker,PHX,@GSW,2025-11-04,PTS,mgm,28.5,-115.0,-115.0
Tyrese Maxey,PHI,@CHI,2025-11-04,PTS,mgm,27.5,-110.0,-120.0
Stephen Curry,GSW,PHX,2025-11-04,PTS,mgm,25.5,-110.0,-118.0
LaMelo Ball,CHA,@NOP,2025-11-04,PTS,mgm,24.5,-115.0,-118.0
Paolo Banchero,ORL,@ATL,2025-11-04,PTS,mgm,24.5,-105.0,-125.0
Zion Williamson,NOP,CHA,2025-11-04,PTS,mgm,24.5,-118.0,-110.0
James Harden,LAC,OKC,2025-11-04,PTS,mgm,22.5,-115.0,-115.0
Franz Wagner,ORL,@ATL,2025-11-04,PTS,mgm,21.5,-105.0,-130.0
Josh Giddey,CHI,PHI,2025-11-04,PTS,mgm,20.5,-125.0,-105.0
Brandon Ingram,TOR,MIL,2025-11-04,PTS,mgm,20.5,-115.0,-115.0
Kawhi Leonard,LAC,OKC,2025-11-04,PTS,mgm,21.5,-110.0,-120.0
RJ Barrett,TOR,MIL,2025-11-04,PTS,mgm,18.5,-125.0,-105.0
Miles Bridges,CHA,@NOP,2025-11-04,PTS,mgm,20.5,-110.0,-120.0
Jimmy Butler,GSW,PHX,2025-11-04,PTS,mgm,20.5,-105.0,-125.0
Joel Embiid,PHI,@CHI,2025-11-04,PTS,mgm,19.5,-125.0,-105.0
Jalen Johnson,ATL,ORL,2025-11-04,PTS,mgm,20.5,-105.0,-125.0
Scottie Barnes,TOR,MIL,2025-11-04,PTS,mgm,18.5,-105.0,-125.0
Nikola Vucevic,CHI,PHI,2025-11-04,PTS,mgm,18.5,-115.0,-118.0
Chet Holmgren,OKC,@LAC,2025-11-04,PTS,mgm,17.5,-110.0,-118.0
Trey Murphy,NOP,CHA,2025-11-04,PTS,mgm,18.5,-115.0,-115.0
Desmond Bane,ORL,@ATL,2025-11-04,PTS,mgm,16.5,-110.0,-118.0
Matas Buzelis,CHI,PHI,2025-11-04,PTS,mgm,16.5,-105.0,-125.0
Jonathan Kuminga,GSW,PHX,2025-11-04,PTS,mgm,17.5,-118.0,-115.0
Kristaps Porzingis,ATL,ORL,2025-11-04,PTS,mgm,17.5,-110.0,-118.0
Collin Sexton,CHA,@NOP,2025-11-04,PTS,mgm,17.5,-115.0,-115.0
Nickeil Alexander-Walker,ATL,ORL,2025-11-04,PTS,mgm,16.5,-110.0,-118.0
VJ Edgecombe,PHI,@CHI,2025-11-04,PTS,mgm,15.5,-130.0,-105.0
Jordan Poole,NOP,CHA,2025-11-04,PTS,mgm,16.5,-110.0,-120.0
Immanuel Quickley,TOR,MIL,2025-11-04,PTS,mgm,15.5,-115.0,-115.0
Grayson Allen,PHX,@GSW,2025-11-04,PTS,mgm,15.5,-120.0,-110.0
John Collins,LAC,OKC,2025-11-04,PTS,mgm,15.5,-118.0,-110.0
Quentin Grimes,PHI,@CHI,2025-11-04,PTS,mgm,14.5,-105.0,-130.0
Ivica Zubac,LAC,OKC,2025-11-04,PTS,mgm,14.5,-120.0,-110.0
Dyson Daniels,ATL,ORL,2025-11-04,PTS,mgm,13.5,-110.0,-118.0
Jeremiah Fears,NOP,CHA,2025-11-04,PTS,mgm,14.5,-115.0,-115.0
Ajay Mitchell,OKC,@LAC,2025-11-04,PTS,mgm,14.5,-120.0,-110.0
Kelly Oubre,PHI,@CHI,2025-11-04,PTS,mgm,13.5,-120.0,-110.0
Ryan Rollins,MIL,@TOR,2025-11-04,PTS,mgm,13.5,-130.0,-105.0
Ayo Dosunmu,CHI,PHI,2025-11-04,PTS,mgm,12.5,-130.0,-105.0
Brandin Podziemski,GSW,PHX,2025-11-04,PTS,mgm,12.5,-125.0,-105.0
Gary Trent,MIL,@TOR,2025-11-04,PTS,mgm,13.5,100.0,-130.0
Myles Turner,MIL,@TOR,2025-11-04,PTS,mgm,12.5,-130.0,-105.0
Tre Jones,CHI,PHI,2025-11-04,PTS,mgm,11.5,-118.0,-115.0
Kon Knueppel,CHA,@NOP,2025-11-04,PTS,mgm,12.5,-115.0,-115.0
Onyeka Okongwu,ATL,ORL,2025-11-04,PTS,mgm,12.5,-105.0,-130.0
Mark Williams,PHX,@GSW,2025-11-04,PTS,mgm,12.5,-105.0,-125.0
Anthony Black,ORL,@ATL,2025-11-04,PTS,mgm,10.5,-120.0,-110.0
Wendell Carter,ORL,@ATL,2025-11-04,PTS,mgm,10.5,-130.0,-105.0
Collin Gillespie,PHX,@GSW,2025-11-04,PTS,mgm,11.5,100.0,-135.0
Kevin Huerter,CHI,PHI,2025-11-04,PTS,mgm,11.5,-105.0,-125.0
Tre Mann,CHA,@NOP,2025-11-04,PTS,mgm,11.5,-120.0,-110.0
Royce O'Neale,PHX,@GSW,2025-11-04,PTS,mgm,11.5,-105.0,-130.0
Bradley Beal,LAC,OKC,2025-11-04,PTS,mgm,10.5,100.0,-135.0
Isaiah Hartenstein,OKC,@LAC,2025-11-04,PTS,mgm,10.5,-105.0,-130.0
Herbert Jones,NOP,CHA,2025-11-04,PTS,mgm,10.5,-105.0,-130.0
Derrick Jones,LAC,OKC,2025-11-04,PTS,mgm,9.5,-125.0,-105.0
Collin Murray-Boyles,TOR,MIL,2025-11-04,PTS,mgm,9.5,-110.0,-120.0
Zaccharie Risacher,ATL,ORL,2025-11-04,PTS,mgm,10.5,100.0,-135.0
Jalen Suggs,ORL,@ATL,2025-11-04,PTS,mgm,10.5,-110.0,-120.0
